# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 12.5kcP Reproducibility Row 1
# Test RPMs (global fallback): [3.5]
"# Per-cell sample labels: {1: 'Trial 1', 2: 'Trial 2', 3: 'Trial 3', 4: 'Trial 4', 5: 'Trial 5', 6: 'Trial 6'}"
# Timestamp: 20260430_100842
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,Trial 1,-65.500,3.5,15.04,23.140,6.611429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.520,3.5,15.03,23.770,6.791429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.540,3.5,15.05,24.310,6.945714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.560,3.5,15.04,24.860,7.102857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.580,3.5,15.03,25.390,7.254286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.600,3.5,15.03,25.970,7.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.620,3.5,15.03,26.440,7.554286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.640,3.5,15.04,27.030,7.722857,0.000000,0.999082,-7.700000,85.714286,85.714286,1.852961,0.000000,0.999082,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,Trial 1,-65.660,3.5,15.03,27.580,7.880000,0.928300,0.999014,-7.771429,-28.571429,-28.571429,0.453554,-178.571429,0.999014,0.928300,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R²=0.9283)
1,1,Trial 1,-65.680,3.5,15.04,28.180,8.051429,0.814454,0.998437,-7.942857,35.714286,35.714286,0.930960,-428.571429,0.998437,0.814454,0.787267,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.8145); hit_r2_slope (R²=0.7873)
1,1,Trial 1,-65.700,3.5,15.03,28.750,8.214286,0.198089,0.999871,-8.242857,-21.428571,-21.428571,1.082311,-750.000000,0.999871,0.198089,0.836634,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.1981); hit_r2_slope (R²=0.8366)
1,1,Trial 1,-65.720,3.5,15.04,29.420,8.405714,0.460096,0.998863,-8.500000,71.428571,71.428571,-0.441403,-642.857143,0.998863,0.460096,0.898515,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.4601); hit_r2_slope (R²=0.8985)
1,1,Trial 1,-65.740,3.5,15.04,30.030,8.580000,0.960690,0.999385,-8.771429,-42.857143,-42.857143,0.026630,-678.571429,0.999385,0.960690,0.889823,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9607); hit_r2_slope (R²=0.8898)
1,1,Trial 1,-65.760,3.5,15.03,30.770,8.791429,0.946011,0.998220,-9.228571,92.857143,92.857143,1.496868,-1142.857143,0.998220,0.946011,0.842017,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9460); hit_r2_slope (R²=0.8420)
1,1,Trial 1,-65.780,3.5,15.04,31.440,8.982857,0.952965,0.999252,-9.614286,-50.000000,-50.000000,-0.804035,-964.285714,0.999252,0.952965,0.898849,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9530); hit_r2_slope (R²=0.8988)
1,1,Trial 1,-65.800,3.5,15.04,32.230,9.208571,0.984718,0.998346,-10.042857,85.714286,85.714286,0.243069,-1071.428571,0.998346,0.984718,0.886437,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8864)
1,1,Trial 1,-65.820,3.5,15.04,32.990,9.425714,0.995415,0.999332,-10.542857,-21.428571,-21.428571,0.364476,-1250.000000,0.999332,0.995415,0.882759,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8828)
1,1,Trial 1,-65.840,3.5,15.03,33.870,9.677143,0.993523,0.997981,-11.071429,85.714286,85.714286,0.081487,-1321.428571,0.997981,0.993523,0.889731,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8897)
1,1,Trial 1,-65.860,3.5,15.03,34.700,9.914286,0.996986,0.999346,-11.657143,-35.714286,-35.714286,0.168286,-1464.285714,0.999346,0.996986,0.886628,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8866)
1,1,Trial 1,-65.880,3.5,15.04,35.690,10.197143,0.996315,0.998093,-12.328571,114.285714,114.285714,0.461446,-1678.571429,0.998093,0.996315,0.884134,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8841)
1,1,Trial 1,-65.900,3.5,15.04,36.640,10.468571,0.997095,0.998938,-13.028571,-28.571429,-28.571429,-0.108694,-1750.000000,0.998938,0.997095,0.890568,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8906)
1,1,Trial 1,-65.920,3.5,15.04,37.730,10.780000,0.998494,0.998015,-13.800000,100.000000,100.000000,0.267772,-1928.571429,0.998015,0.998494,0.887011,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8870)
1,1,Trial 1,-65.940,3.5,15.05,38.760,11.074286,0.998324,0.999462,-14.514286,-42.857143,-42.857143,-0.729197,-1785.714286,0.999462,0.998324,0.896229,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8962)
1,1,Trial 1,-65.960,3.5,15.04,40.020,11.434286,0.997954,0.997713,-15.400000,164.285714,164.285714,0.935734,-2214.285714,0.997713,0.997954,0.877548,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8775)
1,1,Trial 1,-65.980,3.5,15.04,41.220,11.777143,0.996223,0.998532,-16.357143,-42.857143,-42.857143,0.047287,-2392.857143,0.998532,0.996223,0.888334,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8883)
1,1,Trial 1,-66.000,3.5,15.04,42.630,12.180000,0.989076,0.997378,-17.514286,150.000000,150.000000,0.915555,-2892.857143,0.997378,0.989076,0.879797,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-2892.8571); hit_r2_slope (R²=0.8798)
1,1,Trial 1,-66.020,3.5,15.03,43.980,12.565714,0.997614,0.999118,-18.642857,-42.857143,-42.857143,-0.704641,-2821.428571,0.999118,0.997614,0.894074,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8941)
1,1,Trial 1,-66.040,3.5,15.04,45.610,13.031429,0.998754,0.997356,-19.914286,200.000000,200.000000,0.496820,-3178.571429,0.997356,0.998754,0.885439,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-3178.5714); hit_r2_slope (R²=0.8854)
1,1,Trial 1,-66.060,3.5,15.05,47.190,13.482857,0.999196,0.998480,-21.314286,-35.714286,-35.714286,0.147329,-3500.000000,0.998480,0.999196,0.887069,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-3500.0000); hit_r2_slope (R²=0.8871)
1,1,Trial 1,-66.080,3.5,15.04,49.110,14.031429,0.990096,0.996470,-23.100000,242.857143,242.857143,1.634202,-4464.285714,0.996470,0.990096,0.874908,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-4464.2857); hit_r2_slope (R²=0.8749)
1,1,Trial 1,-66.100,3.5,15.04,51.000,14.571429,0.990985,0.998017,-25.057143,-21.428571,-21.428571,0.039757,-4892.857143,0.998017,0.990985,0.887389,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-4892.8571); hit_r2_slope (R²=0.8874)
1,1,Trial 1,-66.120,3.5,20.10,53.120,15.177143,0.996579,0.997591,-26.900000,164.285714,164.285714,-1.272776,-4607.142857,0.997591,0.996579,0.895588,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-4607.1429); hit_r2_slope (R²=0.8956)
1,1,Trial 1,-66.140,3.5,20.10,55.550,15.871429,0.992724,0.997131,-29.614286,221.428571,221.428571,3.470644,-6785.714286,0.997131,0.992724,0.859353,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-6785.7143); hit_r2_slope (R²=0.8594)
1,1,Trial 1,-66.160,3.5,20.00,58.470,16.705714,0.967140,0.992520,-33.242857,350.000000,350.000000,3.221492,-9071.428571,0.992520,0.967140,0.870209,True,False,True,False,True,True,4,0.800000,True,hit_2nd_deriv_drag (350.0000); hit_2nd_deriv_slope (-9071.4286); hit_r2_cv (R²=0.9671); hit_r2_slope (R²=0.8702)
1,1,Trial 1,-66.180,3.5,20.10,61.250,17.500000,0.979141,0.996070,-36.928571,-100.000000,-100.000000,-1.752343,-9214.285714,0.996070,0.979141,0.892037,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-9214.2857); hit_r2_slope (R²=0.8920)
1,1,Trial 1,-66.200,3.5,35.08,66.130,18.894286,0.925820,0.980555,-45.314286,1500.000000,1500.000000,19.007360,-20964.285714,0.980555,0.925820,0.796055,True,True,True,False,True,True,7,1.000000,True,hit_2nd_deriv_drag (1500.0000); hit_2nd_deriv_cv (19.0074); hit_2nd_deriv_slope (-20964.2857); hit_r2_cv (R²=0.9258); hit_r2_slope (R²=0.7961)
1,1,Trial 1,-66.220,3.5,35.09,69.180,19.765714,0.958124,0.990036,-49.885714,-1307.142857,-1307.142857,-20.898729,-11428.571429,0.990036,0.958124,0.892834,True,True,True,False,True,True,7,1.000000,True,hit_2nd_deriv_drag (-1307.1429); hit_2nd_deriv_cv (-20.8987); hit_2nd_deriv_slope (-11428.5714); hit_r2_cv (R²=0.9581); hit_r2_slope (R²=0.8928)
1,1,Trial 1,-66.240,3.5,35.09,69.170,19.762857,0.226239,0.927856,-41.900000,-2185.714286,-2185.714286,-41.215356,19964.285714,0.927856,0.226239,0.010865,True,True,True,True,True,True,7,1.000000,True,hit_2nd_deriv_drag (-2185.7143); hit_2nd_deriv_cv (-41.2154); hit_2nd_deriv_slope (19964.2857); hit_r2_drag (R²=0.9279); hit_r2_cv (R²=0.2262); hit_r2_slope (R²=0.0109)
1,2,Trial 2,-65.500,3.5,30.03,27.670,7.905714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,6,0.000000,False,insufficient_data
1,2,Trial 2,-65.520,3.5,15.04,28.160,8.045714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.540,3.5,15.04,28.280,8.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.560,3.5,15.05,28.340,8.097143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.580,3.5,15.05,28.370,8.105714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.600,3.5,15.04,28.840,8.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.620,3.5,15.04,29.390,8.397143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,2,Trial 2,-65.640,3.5,15.04,29.950,8.557143,0.000000,0.941098,-6.057143,7.142857,7.142857,-0.062909,0.000000,0.941098,0.000000,0.000000,False,False,False,True,False,False,3,0.200000,False,hit_r2_drag (R²=0.9411)
1,2,Trial 2,-65.660,3.5,15.04,30.450,8.700000,0.922164,0.999169,-7.528571,-42.857143,-42.857143,-6.325246,-3678.571429,0.999169,0.922164,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R²=0.9222)
1,2,Trial 2,-65.680,3.5,15.04,31.030,8.865714,0.922688,0.999622,-7.771429,57.142857,57.142857,-9.208451,-607.142857,0.999622,0.922688,0.819123,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9227); hit_r2_slope (R²=0.8191)
1,2,Trial 2,-65.700,3.5,15.04,31.770,9.077143,0.843728,0.994541,-8.342857,114.285714,114.285714,2.706030,-1428.571429,0.994541,0.843728,0.790538,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.8437); hit_r2_slope (R²=0.7905)
1,2,Trial 2,-65.720,3.5,15.04,32.440,9.268571,0.901397,0.994617,-9.000000,-50.000000,-50.000000,0.333352,-1642.857143,0.994617,0.901397,0.883889,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9014); hit_r2_slope (R²=0.8839)
1,2,Trial 2,-65.740,3.5,15.04,33.200,9.485714,0.951140,0.998188,-9.871429,64.285714,64.285714,1.292657,-2178.571429,0.998188,0.951140,0.871044,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9511); hit_r2_slope (R²=0.8710)
1,2,Trial 2,-65.760,3.5,15.04,34.050,9.728571,0.995337,0.998249,-10.671429,64.285714,64.285714,-0.808865,-2000.000000,0.998249,0.995337,0.896536,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8965)
