# Dynamic Analysis - Mode: CALIBRATION
# Experiment Name: 1kcP_silicone
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260915_135014
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Characterization mode: off

"# Cell termination methods: {1: 'hit_detected', 2: 'hit_detected', 3: 'hit_detected', 4: 'hit_detected', 5: 'hit_detected', 6: 'hit_detected', 7: 'hit_detected', 8: 'hit_detected', 9: 'hit_detected', 10: 'normal', 11: 'normal', 12: 'hit_detected', 13: 'hit_detected', 14: 'hit_detected', 15: 'hit_detected', 16: 'hit_detected', 17: 'hit_detected', 18: 'manual_terminate'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.500,1.0,3.01,0.130,0.130000,False
1,1,,-65.520,1.0,3.01,0.230,0.230000,False
1,1,,-65.540,1.0,3.01,0.290,0.290000,False
1,1,,-65.560,1.0,3.01,0.340,0.340000,False
1,1,,-65.580,1.0,3.01,0.340,0.340000,False
1,1,,-65.600,1.0,3.01,0.330,0.330000,False
1,1,,-65.620,1.0,3.01,0.260,0.260000,False
1,1,,-65.640,1.0,3.01,0.260,0.260000,False
1,1,,-65.660,1.0,3.01,0.240,0.240000,False
1,1,,-65.680,1.0,3.01,0.260,0.260000,False
1,1,,-65.700,1.0,3.01,0.340,0.340000,False
1,1,,-65.720,1.0,3.01,0.400,0.400000,False
1,1,,-65.740,1.0,3.01,0.390,0.390000,False
1,1,,-65.760,1.0,3.00,0.340,0.340000,False
1,1,,-65.780,1.0,3.01,0.290,0.290000,False
1,1,,-65.800,1.0,3.01,0.250,0.250000,False
1,1,,-65.820,1.0,3.01,0.250,0.250000,False
1,1,,-65.840,1.0,3.01,0.260,0.260000,False
1,1,,-65.860,1.0,3.01,0.340,0.340000,False
1,1,,-65.880,1.0,3.00,0.390,0.390000,False
1,1,,-65.900,1.0,3.01,0.370,0.370000,False
1,1,,-65.920,1.0,3.01,0.270,0.270000,False
1,1,,-65.940,1.0,3.01,0.290,0.290000,False
1,1,,-65.960,1.0,3.01,0.250,0.250000,False
1,1,,-65.980,1.0,3.01,0.260,0.260000,False
1,1,,-66.000,1.0,3.00,0.290,0.290000,False
1,1,,-66.020,1.0,3.01,0.350,0.350000,False
1,1,,-66.040,1.0,3.00,0.400,0.400000,False
1,1,,-66.060,1.0,3.01,0.380,0.380000,False
1,1,,-66.080,1.0,3.01,0.300,0.300000,False
1,1,,-66.100,1.0,3.00,0.250,0.250000,False
1,1,,-66.120,1.0,3.01,0.260,0.260000,False
1,1,,-66.140,1.0,3.01,0.210,0.210000,False
1,1,,-66.160,1.0,3.01,1.380,1.380000,True
1,1,,-66.180,1.0,3.01,2.110,2.110000,True
1,1,,-66.200,1.0,3.01,3.380,3.380000,True
1,2,,-65.500,1.0,3.01,0.070,0.070000,False
1,2,,-65.520,1.0,3.01,0.070,0.070000,False
1,2,,-65.540,1.0,3.01,0.040,0.040000,False
1,2,,-65.560,1.0,3.01,0.040,0.040000,False
1,2,,-65.580,1.0,3.01,0.100,0.100000,False
1,2,,-65.600,1.0,3.01,0.180,0.180000,False
1,2,,-65.620,1.0,3.01,0.240,0.240000,False
1,2,,-65.640,1.0,3.01,0.230,0.230000,False
1,2,,-65.660,1.0,3.01,0.170,0.170000,False
1,2,,-65.680,1.0,3.01,0.140,0.140000,False
1,2,,-65.700,1.0,3.01,0.130,0.130000,False
1,2,,-65.720,1.0,3.01,0.120,0.120000,False
1,2,,-65.740,1.0,3.01,0.150,0.150000,False
1,2,,-65.760,1.0,3.01,0.350,0.350000,False
1,2,,-65.780,1.0,3.01,0.250,0.250000,True
1,2,,-65.800,1.0,3.01,0.230,0.230000,False
1,2,,-65.820,1.0,3.02,0.170,0.170000,False
1,2,,-65.840,1.0,3.01,0.100,0.100000,False
1,2,,-65.860,1.0,3.01,0.070,0.070000,False
1,2,,-65.880,1.0,3.01,0.100,0.100000,False
1,2,,-65.900,1.0,3.01,0.160,0.160000,False
1,2,,-65.920,1.0,3.00,0.230,0.230000,False
1,2,,-65.940,1.0,3.00,0.240,0.240000,False
1,2,,-65.960,1.0,3.00,3.930,3.930000,True
1,2,,-65.980,1.0,3.01,4.210,4.210000,True
1,2,,-66.000,1.0,3.01,1.900,1.900000,True
1,3,,-65.500,1.0,3.01,0.070,0.070000,False
1,3,,-65.520,1.0,3.01,0.170,0.170000,False
1,3,,-65.540,1.0,3.01,0.220,0.220000,False
1,3,,-65.560,1.0,3.01,0.290,0.290000,False
1,3,,-65.580,1.0,3.01,0.290,0.290000,False
1,3,,-65.600,1.0,3.01,0.220,0.220000,False
1,3,,-65.620,1.0,3.01,0.170,0.170000,False
1,3,,-65.640,1.0,3.01,0.180,0.180000,False
1,3,,-65.660,1.0,3.01,0.190,0.190000,False
1,3,,-65.680,1.0,3.01,0.220,0.220000,False
1,3,,-65.700,1.0,3.01,0.340,0.340000,False
1,3,,-65.720,1.0,3.00,0.360,0.360000,False
1,3,,-65.740,1.0,3.01,0.360,0.360000,False
1,3,,-65.760,1.0,3.01,0.330,0.330000,False
1,3,,-65.780,1.0,3.01,1.980,1.980000,True
1,3,,-65.800,1.0,3.01,3.500,3.500000,True
1,3,,-65.820,1.0,3.01,6.300,6.300000,True
1,4,,-65.500,1.0,3.01,0.080,0.080000,False
1,4,,-65.520,1.0,3.01,0.160,0.160000,False
1,4,,-65.540,1.0,3.01,0.150,0.150000,False
1,4,,-65.560,1.0,3.00,0.140,0.140000,False
1,4,,-65.580,1.0,3.01,0.090,0.090000,False
1,4,,-65.600,1.0,3.01,0.040,0.040000,False
1,4,,-65.620,1.0,3.01,0.030,0.030000,False
1,4,,-65.640,1.0,3.01,0.060,0.060000,False
1,4,,-65.660,1.0,3.01,0.120,0.120000,False
1,4,,-65.680,1.0,3.01,0.170,0.170000,False
1,4,,-65.700,1.0,3.00,0.180,0.180000,False
1,4,,-65.720,1.0,3.01,0.170,0.170000,False
1,4,,-65.740,1.0,3.01,0.110,0.110000,False
1,4,,-65.760,1.0,3.00,0.090,0.090000,False
1,4,,-65.780,1.0,3.01,1.180,1.180000,True
1,4,,-65.800,1.0,3.01,2.600,2.600000,True
1,4,,-65.820,1.0,3.01,3.150,3.150000,True
1,5,,-65.500,1.0,3.01,0.030,0.030000,False
1,5,,-65.520,1.0,3.00,0.020,0.020000,False
1,5,,-65.540,1.0,3.00,0.000,0.000000,False
1,5,,-65.640,1.0,3.01,0.050,0.050000,False
1,5,,-65.660,1.0,3.00,0.070,0.070000,False
1,5,,-65.680,1.0,3.01,0.060,0.060000,False
1,5,,-65.700,1.0,3.01,0.010,0.010000,False
1,5,,-65.760,1.0,3.01,0.000,0.000000,False
1,5,,-65.780,1.0,3.01,0.040,0.040000,False
1,5,,-65.800,1.0,3.01,0.090,0.090000,False
1,5,,-65.820,1.0,3.00,0.080,0.080000,False
1,5,,-65.840,1.0,3.01,0.270,0.270000,False
1,5,,-65.860,1.0,3.01,3.240,3.240000,True
1,5,,-65.880,1.0,3.01,4.340,4.340000,True
1,5,,-65.900,1.0,3.01,5.600,5.600000,False
1,5,,-65.920,1.0,3.01,4.720,4.720000,True
1,5,,-65.940,1.0,3.00,5.470,5.470000,False
1,5,,-65.960,1.0,3.01,5.540,5.540000,True
1,5,,-65.980,1.0,3.01,7.570,7.570000,True
1,5,,-66.000,1.0,3.01,7.500,7.500000,True
1,6,,-65.500,1.0,3.01,0.010,0.010000,False
1,6,,-65.520,1.0,3.00,0.020,0.020000,False
1,6,,-65.540,1.0,3.01,0.020,0.020000,False
1,6,,-65.560,1.0,3.00,0.060,0.060000,False
1,6,,-65.580,1.0,3.01,0.110,0.110000,False
1,6,,-65.600,1.0,3.02,0.120,0.120000,False
1,6,,-65.620,1.0,3.01,0.120,0.120000,False
1,6,,-65.640,1.0,3.01,0.090,0.090000,False
1,6,,-65.660,1.0,3.01,0.030,0.030000,False
1,6,,-65.680,1.0,3.01,0.010,0.010000,False
1,6,,-65.700,1.0,3.01,0.020,0.020000,False
1,6,,-65.720,1.0,3.01,0.070,0.070000,False
1,6,,-65.740,1.0,3.01,0.110,0.110000,False
1,6,,-65.760,1.0,3.01,0.140,0.140000,False
1,6,,-65.780,1.0,3.01,0.100,0.100000,False
1,6,,-65.800,1.0,3.01,0.070,0.070000,False
1,6,,-65.820,1.0,3.02,0.040,0.040000,False
1,6,,-65.840,1.0,3.02,0.020,0.020000,False
1,6,,-65.860,1.0,3.02,0.020,0.020000,False
1,6,,-65.880,1.0,3.02,0.080,0.080000,False
1,6,,-65.900,1.0,3.02,0.140,0.140000,False
1,6,,-65.920,1.0,3.02,0.150,0.150000,False
1,6,,-65.940,1.0,3.02,0.090,0.090000,False
1,6,,-65.960,1.0,3.01,0.080,0.080000,False
1,6,,-65.980,1.0,3.01,0.050,0.050000,False
1,6,,-66.000,1.0,3.01,0.070,0.070000,False
1,6,,-66.020,1.0,3.02,0.160,0.160000,False
1,6,,-66.040,1.0,3.01,2.030,2.030000,True
1,6,,-66.060,1.0,3.02,5.980,5.980000,True
1,6,,-66.080,1.0,3.02,6.880,6.880000,True
2,7,,-65.500,1.0,3.01,0.010,0.010000,False
2,7,,-65.520,1.0,3.02,0.010,0.010000,False
2,7,,-65.540,1.0,3.01,0.000,0.000000,False
2,7,,-65.560,1.0,3.02,0.010,0.010000,False
2,7,,-65.580,1.0,3.01,0.090,0.090000,False
2,7,,-65.600,1.0,3.01,0.120,0.120000,False
2,7,,-65.620,1.0,3.01,0.140,0.140000,False
2,7,,-65.640,1.0,3.01,0.080,0.080000,False
2,7,,-65.660,1.0,3.02,0.030,0.030000,False
2,7,,-65.700,1.0,3.02,0.000,0.000000,False
2,7,,-65.720,1.0,3.01,0.020,0.020000,False
2,7,,-65.740,1.0,3.02,0.070,0.070000,False
2,7,,-65.760,1.0,3.01,0.120,0.120000,False
2,7,,-65.780,1.0,3.02,0.120,0.120000,False
2,7,,-65.800,1.0,3.02,0.090,0.090000,False
2,7,,-65.820,1.0,3.01,0.050,0.050000,False
2,7,,-65.840,1.0,3.01,0.000,0.000000,False
2,7,,-65.860,1.0,3.01,0.010,0.010000,False
2,7,,-65.880,1.0,3.01,0.070,0.070000,False
2,7,,-65.900,1.0,3.01,0.130,0.130000,False
2,7,,-65.920,1.0,3.01,0.140,0.140000,False
2,7,,-65.940,1.0,3.01,0.140,0.140000,False
2,7,,-65.960,1.0,3.01,0.100,0.100000,False
2,7,,-65.980,1.0,3.01,0.020,0.020000,False
2,7,,-66.000,1.0,3.01,0.020,0.020000,False
2,7,,-66.020,1.0,3.01,0.020,0.020000,False
2,7,,-66.040,1.0,3.01,0.090,0.090000,False
2,7,,-66.060,1.0,3.01,0.160,0.160000,False
2,7,,-66.080,1.0,3.01,0.170,0.170000,False
2,7,,-66.100,1.0,3.01,0.200,0.200000,False
2,7,,-66.120,1.0,3.01,0.320,0.320000,False
2,7,,-66.140,1.0,3.01,2.760,2.760000,True
2,7,,-66.160,1.0,3.01,4.310,4.310000,True
2,7,,-66.180,1.0,3.01,5.940,5.940000,True
2,8,,-65.500,1.0,3.01,0.090,0.090000,False
2,8,,-65.520,1.0,3.01,0.160,0.160000,False
2,8,,-65.540,1.0,3.01,0.140,0.140000,False
2,8,,-65.560,1.0,3.01,0.100,0.100000,False
2,8,,-65.580,1.0,3.01,0.040,0.040000,False
2,8,,-65.600,1.0,3.01,0.020,0.020000,False
2,8,,-65.620,1.0,3.01,0.070,0.070000,False
2,8,,-65.640,1.0,3.01,0.100,0.100000,False
2,8,,-65.660,1.0,3.01,0.140,0.140000,False
2,8,,-65.680,1.0,3.01,0.160,0.160000,False
2,8,,-65.700,1.0,3.01,0.140,0.140000,False
2,8,,-65.720,1.0,3.02,0.090,0.090000,False
2,8,,-65.740,1.0,3.01,0.070,0.070000,False
2,8,,-65.760,1.0,3.01,0.040,0.040000,False
2,8,,-65.780,1.0,3.01,0.090,0.090000,True
2,8,,-65.800,1.0,3.01,0.200,0.200000,False
2,8,,-65.820,1.0,3.01,0.240,0.240000,False
2,8,,-65.840,1.0,3.01,0.360,0.360000,False
2,8,,-65.860,1.0,3.01,0.350,0.350000,True
2,8,,-65.880,1.0,3.01,0.760,0.760000,True
2,8,,-65.900,1.0,3.01,3.300,3.300000,True
2,9,,-65.500,1.0,3.01,0.040,0.040000,False
2,9,,-65.520,1.0,3.01,0.090,0.090000,False
2,9,,-65.540,1.0,3.01,0.160,0.160000,False
2,9,,-65.560,1.0,3.01,0.220,0.220000,False
2,9,,-65.580,1.0,3.01,0.200,0.200000,False
2,9,,-65.600,1.0,3.01,0.190,0.190000,False
2,9,,-65.620,1.0,3.01,0.140,0.140000,False
2,9,,-65.640,1.0,3.01,0.140,0.140000,False
2,9,,-65.660,1.0,3.02,0.090,0.090000,False
2,9,,-65.680,1.0,3.01,0.140,0.140000,False
2,9,,-65.700,1.0,3.02,0.230,0.230000,False
2,9,,-65.720,1.0,3.01,0.250,0.250000,False
2,9,,-65.740,1.0,3.02,0.250,0.250000,False
2,9,,-65.760,1.0,3.02,0.250,0.250000,False
2,9,,-65.780,1.0,3.02,0.120,0.120000,False
2,9,,-65.800,1.0,3.02,0.110,0.110000,False
2,9,,-65.820,1.0,3.02,0.110,0.110000,False
2,9,,-65.840,1.0,3.02,0.170,0.170000,False
2,9,,-65.860,1.0,3.01,0.250,0.250000,False
2,9,,-65.880,1.0,3.02,0.300,0.300000,False
2,9,,-65.900,1.0,3.02,0.280,0.280000,False
2,9,,-65.920,1.0,3.01,1.230,1.230000,True
2,9,,-65.940,1.0,3.02,2.790,2.790000,True
2,9,,-65.960,1.0,3.02,3.740,3.740000,True
2,10,,-65.500,1.0,3.02,0.040,0.040000,False
2,10,,-65.520,1.0,3.02,0.140,0.140000,False
2,10,,-65.540,1.0,3.01,0.190,0.190000,False
2,10,,-65.560,1.0,3.02,0.200,0.200000,False
2,10,,-65.580,1.0,3.01,0.140,0.140000,False
2,10,,-65.600,1.0,3.02,1.080,1.080000,False
2,10,,-65.620,1.0,3.02,2.660,2.660000,False
2,10,,-65.640,1.0,3.02,3.590,3.590000,False
2,10,,-65.660,1.0,3.02,4.950,4.950000,False
2,10,,-65.680,1.0,3.01,5.790,5.790000,False
2,10,,-65.700,1.0,3.02,7.310,7.310000,False
2,10,,-65.720,1.0,3.02,8.100,8.100000,False
