# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: recalibration_20260915_112054
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260915_112054
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Characterization mode: off

# Cell termination methods: {2: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,2,,-65.500,1.0,3.01,0.130,0.130000,False
1,2,,-65.520,1.0,3.02,0.220,0.220000,False
1,2,,-65.540,1.0,3.01,0.250,0.250000,False
1,2,,-65.560,1.0,3.01,0.230,0.230000,False
1,2,,-65.580,1.0,3.03,0.150,0.150000,False
1,2,,-65.600,1.0,3.01,0.120,0.120000,False
1,2,,-65.620,1.0,3.01,0.110,0.110000,False
1,2,,-65.640,1.0,3.01,0.000,0.000000,False
1,2,,-65.660,1.0,3.02,0.170,0.170000,False
1,2,,-65.680,1.0,3.01,0.230,0.230000,False
1,2,,-65.700,1.0,3.01,0.250,0.250000,False
1,2,,-65.720,1.0,3.01,0.260,0.260000,False
1,2,,-65.740,1.0,3.01,0.180,0.180000,False
1,2,,-65.760,1.0,3.02,0.140,0.140000,False
1,2,,-65.780,1.0,3.05,0.100,0.100000,False
1,2,,-65.800,1.0,3.05,0.130,0.130000,False
1,2,,-65.820,1.0,3.06,0.170,0.170000,False
1,2,,-65.840,1.0,3.04,0.250,0.250000,False
1,2,,-65.860,1.0,3.02,0.280,0.280000,False
1,2,,-65.880,1.0,3.01,0.220,0.220000,False
1,2,,-65.900,1.0,3.01,0.180,0.180000,False
1,2,,-65.920,1.0,3.01,0.130,0.130000,False
1,2,,-65.940,1.0,3.01,0.140,0.140000,False
1,2,,-65.960,1.0,3.01,0.210,0.210000,False
1,2,,-65.980,1.0,3.02,0.280,0.280000,False
1,2,,-66.000,1.0,3.04,1.730,1.730000,True
1,2,,-66.020,1.0,3.03,3.100,3.100000,True
1,2,,-66.040,1.0,3.02,2.840,2.840000,True
