# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: 980carbo_0.3%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260626_131207
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Completed cells: [10]
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

# Cell termination methods: {10: 'user_stop'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,10,,-65.320,0.2,35.05,25.820,129.100000,False
2,10,,-65.320,0.4,30.09,35.560,88.900000,False
2,10,,-65.320,0.6,30.09,43.000,71.666667,False
2,10,,-65.320,0.8,25.03,49.490,61.862500,False
2,10,,-65.320,1.0,20.09,55.350,55.350000,False
2,10,,-65.320,1.2,20.09,59.990,49.991667,False
2,10,,-65.320,1.4,20.08,63.980,45.700000,False
2,10,,-65.320,1.6,15.03,66.030,41.268750,False
2,10,,-65.320,1.8,35.06,66.270,36.816667,False
2,10,,-65.320,2.0,35.04,68.020,34.010000,False
2,10,,-65.340,0.2,25.03,28.260,141.300000,False
2,10,,-65.340,0.4,35.06,36.540,91.350000,False
2,10,,-65.340,0.6,30.09,44.890,74.816667,False
2,10,,-65.340,0.8,35.05,46.170,57.712500,False
2,10,,-65.340,1.0,35.04,53.420,53.420000,False
2,10,,-65.340,1.2,35.07,55.840,46.533333,False
2,10,,-65.340,1.4,35.05,58.190,41.564286,False
2,10,,-65.340,1.6,35.05,61.720,38.575000,False
2,10,,-65.340,1.8,35.04,63.760,35.422222,False
2,10,,-65.340,2.0,35.04,59.470,29.735000,False
2,10,,-65.360,0.2,15.02,30.980,154.900000,False
2,10,,-65.360,0.4,35.05,40.160,100.400000,False
2,10,,-65.360,0.6,35.06,39.170,65.283333,False
2,10,,-65.360,0.8,35.05,48.070,60.087500,False
2,10,,-65.360,1.0,35.05,47.220,47.220000,False
2,10,,-65.360,1.2,35.03,50.670,42.225000,False
2,10,,-65.360,1.4,35.04,52.720,37.657143,False
2,10,,-65.360,1.6,35.05,52.880,33.050000,False
2,10,,-65.360,1.8,35.05,57.450,31.916667,False
2,10,,-65.360,2.0,35.05,62.040,31.020000,False
2,10,,-65.380,0.2,20.09,25.620,128.100000,False
2,10,,-65.380,0.4,35.04,33.290,83.225000,False
2,10,,-65.380,0.6,35.05,43.890,73.150000,False
2,10,,-65.380,0.8,35.06,41.720,52.150000,False
2,10,,-65.380,1.0,35.06,49.380,49.380000,False
2,10,,-65.380,1.2,35.04,53.800,44.833333,False
2,10,,-65.380,1.4,35.04,55.810,39.864286,False
