# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 12.5kcP Reproducibility Brush cell 1
# Test RPMs (global fallback): [3.5]
"# Per-cell sample labels: {1: 'Trial 1', 2: 'Trial 2', 3: 'Trial 3', 4: 'Trial 4', 5: 'Trial 5', 6: 'Trial 6'}"
# Timestamp: 20260506_145246
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,Trial 1,-65.500,3.5,15.03,24.080,6.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.520,3.5,15.03,24.650,7.042857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.540,3.5,15.03,25.160,7.188571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.560,3.5,15.03,25.720,7.348571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.580,3.5,15.03,26.240,7.497143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.600,3.5,15.02,26.800,7.657143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.620,3.5,15.03,27.320,7.805714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,Trial 1,-65.640,3.5,15.02,27.930,7.980000,0.000000,0.999247,-7.857143,64.285714,64.285714,1.075235,0.000000,0.999247,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,Trial 1,-65.660,3.5,15.03,28.490,8.140000,0.748247,0.999486,-8.042857,-35.714286,-35.714286,0.365211,-464.285714,0.999486,0.748247,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R²=0.7482)
1,1,Trial 1,-65.680,3.5,15.02,29.140,8.325714,0.002752,0.998754,-8.357143,64.285714,64.285714,1.098843,-785.714286,0.998754,0.002752,0.841353,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.0028); hit_r2_slope (R²=0.8414)
1,1,Trial 1,-65.700,3.5,15.03,29.740,8.497143,0.803526,0.999599,-8.642857,-35.714286,-35.714286,-0.379399,-714.285714,0.999599,0.803526,0.896871,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.8035); hit_r2_slope (R²=0.8969)
1,1,Trial 1,-65.720,3.5,15.03,30.470,8.705714,0.942275,0.998099,-9.042857,92.857143,92.857143,0.911445,-1000.000000,0.998099,0.942275,0.865226,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9423); hit_r2_slope (R²=0.8652)
1,1,Trial 1,-65.740,3.5,15.03,31.140,8.897143,0.982335,0.999084,-9.471429,-42.857143,-42.857143,0.035624,-1071.428571,0.999084,0.982335,0.888889,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8889)
1,1,Trial 1,-65.760,3.5,15.02,31.920,9.120000,0.984369,0.998285,-9.942857,78.571429,78.571429,0.221619,-1178.571429,0.998285,0.984369,0.887139,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8871)
1,1,Trial 1,-65.780,3.5,15.03,32.640,9.325714,0.997312,0.999576,-10.357143,-42.857143,-42.857143,-0.666318,-1035.714286,0.999576,0.997312,0.897895,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8979)
1,1,Trial 1,-65.800,3.5,15.02,33.500,9.571429,0.994612,0.998365,-10.800000,100.000000,100.000000,0.123398,-1107.142857,0.998365,0.994612,0.889036,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8890)
1,1,Trial 1,-65.820,3.5,15.02,34.310,9.802857,0.996078,0.999197,-11.314286,-35.714286,-35.714286,0.344876,-1285.714286,0.999197,0.996078,0.883126,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8831)
1,1,Trial 1,-65.840,3.5,15.03,35.260,10.074286,0.986317,0.997986,-11.928571,100.000000,100.000000,0.592220,-1535.714286,0.997986,0.986317,0.880828,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8808)
1,1,Trial 1,-65.860,3.5,15.02,36.170,10.334286,0.988493,0.999219,-12.600000,-28.571429,-28.571429,0.118684,-1678.571429,0.999219,0.988493,0.887574,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8876)
1,1,Trial 1,-65.880,3.5,15.03,37.270,10.648571,0.987726,0.997350,-13.428571,135.714286,135.714286,0.915641,-2071.428571,0.997350,0.987726,0.877984,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8780)
1,1,Trial 1,-65.900,3.5,15.03,38.280,10.937143,0.996111,0.998907,-14.214286,-64.285714,-64.285714,-0.709929,-1964.285714,0.998907,0.996111,0.895302,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8953)
1,1,Trial 1,-65.920,3.5,15.03,39.480,11.280000,0.998444,0.998060,-15.071429,135.714286,135.714286,0.233405,-2142.857143,0.998060,0.998444,0.887705,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8877)
1,1,Trial 1,-65.940,3.5,15.02,40.630,11.608571,0.996771,0.999191,-15.900000,-35.714286,-35.714286,-0.553038,-2071.428571,0.999191,0.996771,0.894479,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8945)
1,1,Trial 1,-65.960,3.5,15.03,42.010,12.002857,0.998533,0.997290,-16.900000,164.285714,164.285714,0.842728,-2500.000000,0.997290,0.998533,0.879944,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8799)
1,1,Trial 1,-65.980,3.5,15.02,43.330,12.380000,0.994991,0.998721,-18.042857,-42.857143,-42.857143,0.389170,-2857.142857,0.998721,0.994991,0.884367,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8844)
1,1,Trial 1,-66.000,3.5,15.03,44.940,12.840000,0.984321,0.996827,-19.457143,207.142857,207.142857,1.239788,-3535.714286,0.996827,0.984321,0.877731,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8777)
1,1,Trial 1,-66.020,3.5,15.03,46.490,13.282857,0.993431,0.998356,-20.928571,-42.857143,-42.857143,-0.359613,-3678.571429,0.998356,0.993431,0.890689,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8907)
1,1,Trial 1,-66.040,3.5,15.02,48.320,13.805714,0.997912,0.997091,-22.542857,200.000000,200.000000,0.285971,-4035.714286,0.997091,0.997912,0.887321,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8873)
1,1,Trial 1,-66.060,3.5,15.03,50.220,14.348571,0.997414,0.998006,-24.514286,50.000000,50.000000,1.157269,-4928.571429,0.998006,0.997414,0.878914,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-4928.5714); hit_r2_slope (R²=0.8789)
1,1,Trial 1,-66.080,3.5,20.08,52.330,14.951429,0.997774,0.996991,-26.442857,150.000000,150.000000,-0.951203,-4821.428571,0.996991,0.997774,0.893933,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-4821.4286); hit_r2_slope (R²=0.8939)
1,1,Trial 1,-66.100,3.5,20.08,54.680,15.622857,0.992269,0.997249,-29.128571,171.428571,171.428571,2.867331,-6714.285714,0.997249,0.992269,0.865817,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-6714.2857); hit_r2_slope (R²=0.8658)
1,1,Trial 1,-66.120,3.5,20.08,57.430,16.408571,0.983578,0.994727,-32.400000,285.714286,285.714286,1.689935,-8178.571429,0.994727,0.983578,0.879142,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-8178.5714); hit_r2_slope (R²=0.8791)
1,1,Trial 1,-66.140,3.5,20.09,60.200,17.200000,0.989277,0.996504,-35.800000,14.285714,14.285714,-1.054208,-8500.000000,0.996504,0.989277,0.890750,False,False,True,False,False,True,4,0.400000,False,hit_2nd_deriv_slope (-8500.0000); hit_r2_slope (R²=0.8908)
1,1,Trial 1,-66.160,3.5,35.08,68.050,19.442857,0.745510,0.923678,-52.800000,3628.571429,3628.571429,62.214874,-42500.000000,0.923678,0.745510,0.670635,True,True,True,True,True,True,7,1.000000,True,hit_2nd_deriv_drag (3628.5714); hit_2nd_deriv_cv (62.2149); hit_2nd_deriv_slope (-42500.0000); hit_r2_drag (R²=0.9237); hit_r2_cv (R²=0.7455); hit_r2_slope (R²=0.6706)
1,1,Trial 1,-66.180,3.5,35.05,65.630,18.751429,0.701803,0.851006,-46.457143,-7335.714286,-7335.714286,-99.420670,15857.142857,0.851006,0.701803,0.501493,True,True,True,True,True,True,7,1.000000,True,hit_2nd_deriv_drag (-7335.7143); hit_2nd_deriv_cv (-99.4207); hit_2nd_deriv_slope (15857.1429); hit_r2_drag (R²=0.8510); hit_r2_cv (R²=0.7018); hit_r2_slope (R²=0.5015)
1,1,Trial 1,-66.200,3.5,35.05,70.840,20.240000,0.349878,0.848855,-46.071429,5450.000000,5450.000000,17.030062,964.285714,0.848855,0.349878,0.778561,True,True,False,True,True,True,7,1.000000,True,hit_2nd_deriv_drag (5450.0000); hit_2nd_deriv_cv (17.0301); hit_r2_drag (R²=0.8489); hit_r2_cv (R²=0.3499); hit_r2_slope (R²=0.7786)
