# Dynamic Analysis - Mode: RECALIBRATION (PARTIAL RESULTS)
# Experiment Name: recalibration_20260604_091347
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260604_091347
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.500,1.0,4.01,0.020,0.020000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.520,1.0,4.01,0.070,0.070000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.540,1.0,4.01,0.100,0.100000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.560,1.0,4.01,0.160,0.160000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.580,1.0,4.01,0.210,0.210000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.600,1.0,4.01,0.210,0.210000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.620,1.0,4.01,0.160,0.160000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.640,1.0,4.02,0.090,0.090000,hit_detected,0.000000,0.371399,0.950000,-50.000000,-50.000000,401.571248,0.000000,0.371399,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.3714)
1,1,,-65.660,1.0,4.01,0.050,0.050000,hit_detected,0.204224,0.934363,2.200000,75.000000,75.000000,395.131135,3125.000000,0.934363,0.204224,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.9344); hit_r2_cv (R^2=0.2042)
1,1,,-65.680,1.0,4.01,0.040,0.040000,hit_detected,0.489259,0.946262,2.250000,75.000000,75.000000,-84.329805,125.000000,0.946262,0.489259,0.769201,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9463); hit_r2_cv (R^2=0.4893); hit_r2_slope (R^2=0.7692)
1,1,,-65.700,1.0,4.01,0.090,0.090000,hit_detected,0.750944,0.404709,0.950000,150.000000,150.000000,-628.279379,-3250.000000,0.404709,0.750944,0.460668,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.4047); hit_r2_cv (R^2=0.7509); hit_r2_slope (R^2=0.4607)
1,1,,-65.720,1.0,4.01,0.170,0.170000,hit_detected,0.504986,0.381679,-1.000000,75.000000,75.000000,331.820455,-4875.000000,0.381679,0.504986,0.857143,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.3817); hit_r2_cv (R^2=0.5050); hit_r2_slope (R^2=0.8571)
1,1,,-65.740,1.0,4.01,0.190,0.190000,hit_detected,0.204279,0.890360,-2.050000,-150.000000,-150.000000,49.011236,-2625.000000,0.890360,0.204279,0.892313,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8904); hit_r2_cv (R^2=0.2043); hit_r2_slope (R^2=0.8923)
