# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 60kcP + hit point detection + quick wash + reproduce
# Test RPMs (global fallback): [0.8]
"# Per-cell sample labels: {1: 'Trial 1', 4: 'Trial 2'}"
# Timestamp: 20260424_112159
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,Trial 1,-65.500,0.8,30.09,25.320,31.650000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.520,0.8,30.09,25.900,32.375000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.540,0.8,30.09,26.350,32.937500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.560,0.8,30.10,27.000,33.750000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.580,0.8,30.09,27.470,34.337500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.600,0.8,30.09,28.100,35.125000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.620,0.8,30.10,28.700,35.875000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,Trial 1,-65.640,0.8,30.09,29.310,36.637500,0.000000,0.997822,-36.562500,31.250000,0.000000,False,
1,1,Trial 1,-65.660,0.8,30.09,29.970,37.462500,0.761348,0.999743,-38.812500,156.250000,0.200000,False,hit_r2_cv (R²=0.7613)
1,1,Trial 1,-65.680,0.8,30.10,30.610,38.262500,0.704594,0.999629,-39.312500,-62.500000,0.400000,False,hit_r2_cv (R²=0.7046); hit_r2_slope (R²=0.8371)
1,1,Trial 1,-65.700,0.8,30.10,31.290,39.112500,0.562343,0.999695,-40.500000,125.000000,0.400000,False,hit_r2_cv (R²=0.5623); hit_r2_slope (R²=0.7890)
1,1,Trial 1,-65.720,0.8,30.00,32.000,40.000000,0.692372,0.999617,-41.875000,93.750000,0.400000,False,hit_r2_cv (R²=0.6924); hit_r2_slope (R²=0.8834)
1,1,Trial 1,-65.740,0.8,30.01,32.700,40.875000,0.615943,0.999602,-42.812500,-31.250000,0.400000,False,hit_r2_cv (R²=0.6159); hit_r2_slope (R²=0.8993)
1,1,Trial 1,-65.760,0.8,30.09,33.480,41.850000,0.920050,0.999400,-44.687500,250.000000,0.400000,False,hit_r2_cv (R²=0.9201); hit_r2_slope (R²=0.8167)
1,1,Trial 1,-65.780,0.8,30.10,34.180,42.725000,0.790129,0.999689,-45.375000,-250.000000,0.400000,False,hit_r2_cv (R²=0.7901); hit_r2_slope (R²=0.8706)
1,1,Trial 1,-65.800,0.8,30.09,35.120,43.900000,0.755430,0.997109,-48.250000,750.000000,0.600000,False,hit_2nd_deriv_drag (750.0000); hit_r2_cv (R²=0.7554); hit_r2_slope (R²=0.6967)
1,1,Trial 1,-65.820,0.8,30.10,35.910,44.887500,0.880704,0.998076,-50.375000,-468.750000,0.600000,False,hit_2nd_deriv_drag (-468.7500); hit_r2_cv (R²=0.8807); hit_r2_slope (R²=0.9000)
1,1,Trial 1,-65.840,0.8,30.10,36.960,46.200000,0.883648,0.995939,-54.312500,812.500000,0.600000,False,hit_2nd_deriv_drag (812.5000); hit_r2_cv (R²=0.8836); hit_r2_slope (R²=0.8283)
1,1,Trial 1,-65.860,0.8,30.09,37.760,47.200000,0.967668,0.998383,-56.250000,-781.250000,0.600000,False,hit_2nd_deriv_drag (-781.2500); hit_r2_cv (R²=0.9677); hit_r2_slope (R²=0.8881)
1,1,Trial 1,-65.880,0.8,30.10,38.920,48.650000,0.956627,0.995977,-59.062500,1125.000000,0.600000,False,hit_2nd_deriv_drag (1125.0000); hit_r2_cv (R²=0.9566); hit_r2_slope (R²=0.8611)
1,1,Trial 1,-65.900,0.8,30.09,39.820,49.775000,0.906202,0.997718,-61.125000,-812.500000,0.600000,False,hit_2nd_deriv_drag (-812.5000); hit_r2_cv (R²=0.9062); hit_r2_slope (R²=0.9000)
1,1,Trial 1,-65.920,0.8,30.09,40.980,51.225000,0.950299,0.996612,-63.125000,812.500000,0.600000,False,hit_2nd_deriv_drag (812.5000); hit_r2_cv (R²=0.9503); hit_r2_slope (R²=0.8943)
1,1,Trial 1,-65.940,0.8,30.10,42.160,52.700000,0.880116,0.998094,-67.875000,62.500000,0.400000,False,hit_r2_cv (R²=0.8801); hit_r2_slope (R²=0.7890)
1,1,Trial 1,-65.960,0.8,30.10,43.450,54.312500,0.898293,0.996204,-71.250000,343.750000,0.400000,False,hit_r2_cv (R²=0.8983); hit_r2_slope (R²=0.8998)
1,1,Trial 1,-65.980,0.8,30.09,44.760,55.950000,0.947339,0.999183,-77.187500,62.500000,0.400000,False,hit_r2_cv (R²=0.9473); hit_r2_slope (R²=0.8359)
1,1,Trial 1,-66.000,0.8,30.10,46.210,57.762500,0.987577,0.998646,-81.625000,437.500000,0.200000,False,hit_r2_slope (R²=0.9000)
1,1,Trial 1,-66.020,0.8,30.09,47.690,59.612500,0.984118,0.998950,-86.375000,93.750000,0.200000,False,hit_r2_slope (R²=0.8889)
1,1,Trial 1,-66.040,0.8,30.08,49.350,61.687500,0.986127,0.998197,-92.062500,562.500000,0.400000,False,hit_2nd_deriv_drag (562.5000); hit_r2_slope (R²=0.8806)
1,1,Trial 1,-66.060,0.8,30.09,51.100,63.875000,0.988334,0.998220,-98.875000,281.250000,0.200000,False,hit_r2_slope (R²=0.8806)
1,1,Trial 1,-66.080,0.8,30.08,53.070,66.337500,0.983506,0.997192,-107.062500,687.500000,0.600000,False,hit_2nd_deriv_drag (687.5000); hit_2nd_deriv_slope (-20468.7500); hit_r2_slope (R²=0.8803)
1,1,Trial 1,-66.100,0.8,30.07,54.970,68.712500,0.995196,0.998802,-114.250000,-218.750000,0.400000,False,hit_2nd_deriv_slope (-17968.7500); hit_r2_slope (R²=0.8979)
1,1,Trial 1,-66.120,0.8,30.08,57.550,71.937500,0.978229,0.994742,-126.687500,2125.000000,0.600000,False,hit_2nd_deriv_drag (2125.0000); hit_2nd_deriv_slope (-31093.7500); hit_r2_slope (R²=0.8382)
1,1,Trial 1,-66.140,0.8,30.07,59.730,74.662500,0.983894,0.996938,-135.875000,-1250.000000,0.600000,False,hit_2nd_deriv_drag (-1250.0000); hit_2nd_deriv_slope (-22968.7500); hit_r2_slope (R²=0.9000)
1,1,Trial 1,-66.160,0.8,30.08,62.860,78.575000,0.973650,0.993381,-152.125000,2968.750000,0.800000,True,hit_2nd_deriv_drag (2968.7500); hit_2nd_deriv_slope (-40625.0000); hit_r2_cv (R²=0.9736); hit_r2_slope (R²=0.8351)
1,1,Trial 1,-66.180,0.8,30.06,65.620,82.025000,0.988209,0.996839,-166.312500,-1156.250000,0.600000,False,hit_2nd_deriv_drag (-1156.2500); hit_2nd_deriv_slope (-35468.7500); hit_r2_slope (R²=0.8981)
1,1,Trial 1,-66.200,0.8,30.08,72.190,90.237500,0.803600,0.951520,-219.812500,11906.250000,1.000000,True,hit_2nd_deriv_drag (11906.2500); hit_2nd_deriv_cv (36.9288); hit_2nd_deriv_slope (-133750.0000); hit_r2_drag (R²=0.9515); hit_r2_cv (R²=0.8036); hit_r2_slope (R²=0.7127)
1,1,Trial 1,-66.220,0.8,30.07,72.420,90.525000,0.816350,0.946719,-216.937500,-19812.500000,1.000000,True,hit_2nd_deriv_drag (-19812.5000); hit_2nd_deriv_cv (-54.7752); hit_r2_drag (R²=0.9467); hit_r2_cv (R²=0.8163); hit_r2_slope (R²=0.7217)
1,1,Trial 1,-66.240,0.8,30.07,73.960,92.450000,0.106048,0.887528,-181.250000,4093.750000,1.000000,True,hit_2nd_deriv_drag (4093.7500); hit_2nd_deriv_cv (-21.6982); hit_2nd_deriv_slope (89218.7500); hit_r2_drag (R²=0.8875); hit_r2_cv (R²=0.1060); hit_r2_slope (R²=0.5761)
1,4,Trial 2,-65.500,0.8,30.08,32.480,40.600000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.520,0.8,30.07,33.130,41.412500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.540,0.8,30.06,33.690,42.112500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.560,0.8,30.06,34.350,42.937500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.580,0.8,30.07,35.020,43.775000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.600,0.8,30.07,35.740,44.675000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,Trial 2,-65.620,0.8,30.06,36.590,45.737500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
