# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: 5%PEG600K
# Test RPMs (global fallback): [1.0]
# Per-cell sample labels: {1: '600KPEG5%'}
# Timestamp: 20260608_125649
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,2,,-65.500,1.0,3.03,0.000,0.000000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.600,1.0,3.01,0.010,0.010000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.620,1.0,3.01,0.070,0.070000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.640,1.0,3.01,0.060,0.060000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.660,1.0,3.01,0.000,0.000000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.740,1.0,3.01,0.000,0.000000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.760,1.0,3.01,0.090,0.090000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.780,1.0,3.01,0.100,0.100000,hit_detected,0.000000,0.235601,-0.373711,-200.000000,-200.000000,648.861556,0.000000,0.235601,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.2356)
1,2,,-65.800,1.0,3.01,0.100,0.100000,hit_detected,0.795410,0.682126,-0.811644,-25.000000,-25.000000,-128.463208,-1094.831239,0.682126,0.795410,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.6821); hit_r2_cv (R^2=0.7954)
1,2,,-65.820,1.0,3.01,0.050,0.050000,hit_detected,0.835542,0.161765,-0.550000,-125.000000,-125.000000,-527.848513,654.109589,0.161765,0.835542,0.323380,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1618); hit_r2_cv (R^2=0.8355); hit_r2_slope (R^2=0.3234)
