# Dynamic Analysis - Mode: CUSTOM
"# Experiment Name: Multi RPM, Optimized"
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [9.0], 7: [1.7], 13: [0.8]}"
"# Per-cell sample labels: {1: '5kcP', 7: '30kcP', 13: '60kcP'}"
# Timestamp: 20260423_145312
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,5kcP,-65.500,9.0,30.08,15.420,1.713333,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.520,9.0,30.08,19.400,2.155556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.540,9.0,30.08,21.240,2.360000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.560,9.0,30.08,22.460,2.495556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.580,9.0,30.06,23.360,2.595556,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.600,9.0,30.07,24.210,2.690000,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.620,9.0,30.07,24.920,2.768889,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,1,5kcP,-65.640,9.0,30.08,25.710,2.856667,0.000000,0.998107,-4.477778,22.222222,0.000000,False,
1,1,5kcP,-65.660,9.0,30.08,26.290,2.921111,0.794113,0.996446,-4.088889,-58.333333,0.200000,False,hit_r2_cv (R²=0.7941)
1,1,5kcP,-65.680,9.0,30.07,27.050,3.005556,0.873569,0.998299,-3.916667,50.000000,0.400000,False,hit_r2_cv (R²=0.8736); hit_r2_slope (R²=0.8824)
1,1,5kcP,-65.700,9.0,30.08,27.750,3.083333,0.907984,0.998386,-3.888889,-16.666667,0.400000,False,hit_r2_cv (R²=0.9080); hit_r2_slope (R²=0.8178)
1,1,5kcP,-65.720,9.0,30.09,28.460,3.162222,0.897126,0.998532,-3.866667,2.777778,0.400000,False,hit_r2_cv (R²=0.8971); hit_r2_slope (R²=0.8997)
1,1,5kcP,-65.740,9.0,30.03,29.150,3.238889,0.875446,0.999703,-3.961111,-5.555556,0.400000,False,hit_r2_cv (R²=0.8754); hit_r2_slope (R²=0.2469)
1,1,5kcP,-65.760,9.0,30.10,30.010,3.334444,0.785471,0.998197,-4.066667,47.222222,0.400000,False,hit_r2_cv (R²=0.7855); hit_r2_slope (R²=0.8860)
1,1,5kcP,-65.780,9.0,30.09,30.700,3.411111,0.666542,0.998656,-4.138889,-47.222222,0.400000,False,hit_r2_cv (R²=0.6665); hit_r2_slope (R²=0.8993)
1,1,5kcP,-65.800,9.0,30.10,31.610,3.512222,0.205323,0.997884,-4.361111,61.111111,0.400000,False,hit_r2_cv (R²=0.2053); hit_r2_slope (R²=0.7458)
1,1,5kcP,-65.820,9.0,40.00,32.390,3.598889,0.586154,0.998739,-4.488889,-36.111111,0.400000,False,hit_r2_cv (R²=0.5862); hit_r2_slope (R²=0.8949)
1,1,5kcP,-65.840,9.0,30.09,33.410,3.712222,0.835073,0.996198,-4.716667,66.666667,0.400000,False,hit_r2_cv (R²=0.8351); hit_r2_slope (R²=0.8340)
1,1,5kcP,-65.860,9.0,30.09,34.290,3.810000,0.949909,0.998717,-4.988889,-38.888889,0.400000,False,hit_r2_cv (R²=0.9499); hit_r2_slope (R²=0.8808)
1,1,5kcP,-65.880,9.0,30.09,35.330,3.925556,0.949204,0.997991,-5.188889,44.444444,0.400000,False,hit_r2_cv (R²=0.9492); hit_r2_slope (R²=0.9000)
1,1,5kcP,-65.900,9.0,30.09,36.360,4.040000,0.988729,0.999264,-5.477778,-2.777778,0.200000,False,hit_r2_slope (R²=0.8617)
