# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 11.61kcP_t2
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260616_100804
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.160,8.9,15.03,69.760,7.811870,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.180,8.9,15.03,71.320,7.986562,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.200,8.9,15.03,73.160,8.192609,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.220,8.9,15.02,74.860,8.382979,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.240,8.9,15.01,76.900,8.611422,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.260,8.9,15.03,78.860,8.830907,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.280,8.9,15.02,81.140,9.086226,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.300,8.9,15.02,83.400,9.339306,normal,0.000000,0.998913,-11.937290,-5.599104,-5.599104,0.618944,0.000000,0.998913,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,,-66.320,8.9,15.02,85.880,9.617021,normal,0.996679,0.998420,-12.597984,61.590146,61.590146,-1.080029,-1651.735722,0.998420,0.996679,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,,-66.340,8.9,15.03,88.510,9.911534,normal,0.997404,0.998881,-13.460246,41.993281,41.993281,1.200826,-2155.655095,0.998881,0.997404,0.872662,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8727)
1,1,,-66.360,8.9,15.01,91.440,10.239642,normal,0.995351,0.997587,-14.395297,83.986562,83.986562,0.182659,-2337.625980,0.997587,0.995351,0.888104,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8881)
1,1,,-66.380,8.9,15.03,94.460,10.577828,normal,0.990200,0.998199,-15.498320,25.195969,25.195969,0.693342,-2757.558791,0.998199,0.990200,0.881864,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8819)
1,1,,-66.400,8.9,15.03,97.800,10.951848,normal,0.997420,0.998137,-16.679731,89.585666,89.585666,0.033167,-2953.527436,0.998137,0.997420,0.888911,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8889)
