# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 8kcP
# Test RPMs (global fallback): [5.6]
"# Per-cell sample labels: {4: '8kcP', 6: '8kcP'}"
# Timestamp: 20260429_092143
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,6,8kcP,-65.500,5.6,15.04,26.300,4.696429,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.520,5.6,15.05,26.900,4.803571,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.540,5.6,15.04,27.400,4.892857,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.560,5.6,15.05,27.920,4.985714,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.580,5.6,15.04,28.430,5.076786,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.600,5.6,15.04,29.030,5.183929,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.620,5.6,15.04,29.620,5.289286,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,6,8kcP,-65.640,5.6,15.04,30.290,5.408929,0.000000,0.997903,-5.294643,35.714286,0.000000,False,
1,6,8kcP,-65.660,5.6,15.04,30.910,5.519643,0.827342,0.999514,-5.553571,-22.321429,0.200000,False,hit_r2_cv (R²=0.8273)
1,6,8kcP,-65.680,5.6,15.04,31.630,5.648214,0.985508,0.998978,-5.794643,44.642857,0.200000,False,hit_r2_slope (R²=0.8960)
1,6,8kcP,-65.700,5.6,15.04,32.300,5.767857,0.943738,0.999555,-5.982143,-22.321429,0.400000,False,hit_r2_cv (R²=0.9437); hit_r2_slope (R²=0.8999)
1,6,8kcP,-65.720,5.6,15.04,33.120,5.914286,0.981578,0.997842,-6.294643,66.964286,0.200000,False,hit_r2_slope (R²=0.8435)
1,6,8kcP,-65.740,5.6,15.04,33.940,6.060714,0.931685,0.998118,-6.741071,-0.000000,0.400000,False,hit_r2_cv (R²=0.9317); hit_r2_slope (R²=0.8629)
1,6,8kcP,-65.760,5.6,15.03,34.820,6.217857,0.955323,0.997822,-7.160714,26.785714,0.400000,False,hit_r2_cv (R²=0.9553); hit_r2_slope (R²=0.8957)
1,6,8kcP,-65.780,5.6,15.04,35.720,6.378571,0.996041,0.999501,-7.625000,8.928571,0.200000,False,hit_r2_slope (R²=0.8867)
1,6,8kcP,-65.800,5.6,15.04,36.750,6.562500,0.998284,0.998212,-8.071429,58.035714,0.200000,False,hit_r2_slope (R²=0.8947)
1,6,8kcP,-65.820,5.6,15.05,37.690,6.730357,0.984333,0.999188,-8.419643,-40.178571,0.200000,False,hit_r2_slope (R²=0.8999)
1,6,8kcP,-65.840,5.6,15.04,38.890,6.944643,0.983413,0.997569,-9.026786,116.071429,0.200000,False,hit_r2_slope (R²=0.8372)
1,6,8kcP,-65.860,5.6,15.04,39.910,7.126786,0.974488,0.998751,-9.392857,-80.357143,0.400000,False,hit_r2_cv (R²=0.9745); hit_r2_slope (R²=0.8965)
1,6,8kcP,-65.880,5.6,15.04,41.270,7.369643,0.970198,0.996470,-10.053571,151.785714,0.400000,False,hit_r2_cv (R²=0.9702); hit_r2_slope (R²=0.8322)
1,6,8kcP,-65.900,5.6,15.04,42.430,7.576786,0.978809,0.998515,-10.589286,-89.285714,0.200000,False,hit_r2_slope (R²=0.8995)
1,6,8kcP,-65.920,5.6,15.04,43.880,7.835714,0.979936,0.997032,-11.160714,129.464286,0.200000,False,hit_r2_slope (R²=0.8892)
1,6,8kcP,-65.940,5.6,15.04,45.350,8.098214,0.980433,0.998263,-12.044643,8.928571,0.200000,False,hit_r2_slope (R²=0.8533)
1,6,8kcP,-65.960,5.6,15.04,47.020,8.396429,0.975092,0.996122,-12.875000,89.285714,0.200000,False,hit_r2_slope (R²=0.8957)
1,6,8kcP,-65.980,5.6,15.04,48.690,8.694643,0.984708,0.998723,-13.982143,-0.000000,0.200000,False,hit_r2_slope (R²=0.8705)
1,6,8kcP,-66.000,5.6,15.04,50.700,9.053571,0.995323,0.996907,-15.160714,151.785714,0.200000,False,hit_r2_slope (R²=0.8893)
1,6,8kcP,-66.020,5.6,15.05,52.670,9.405357,0.996586,0.997898,-16.357143,-17.857143,0.200000,False,hit_r2_slope (R²=0.8921)
1,6,8kcP,-66.040,5.6,15.05,55.320,9.878571,0.975749,0.993149,-18.375000,303.571429,0.800000,True,hit_2nd_deriv_drag (303.5714); hit_2nd_deriv_cv (5.8124); hit_2nd_deriv_slope (-5044.6429); hit_r2_slope (R²=0.8418)
1,6,8kcP,-66.060,5.6,25.06,60.790,10.855357,0.752058,0.943515,-25.732143,1258.928571,1.000000,True,hit_2nd_deriv_drag (1258.9286); hit_2nd_deriv_cv (41.2217); hit_2nd_deriv_slope (-18392.8571); hit_r2_drag (R²=0.9435); hit_r2_cv (R²=0.7521); hit_r2_slope (R²=0.7181)
1,6,8kcP,-66.080,5.6,25.06,62.780,11.210714,0.885575,0.969010,-28.821429,-1553.571429,1.000000,True,hit_2nd_deriv_drag (-1553.5714); hit_2nd_deriv_cv (-42.2971); hit_2nd_deriv_slope (-7723.2143); hit_r2_drag (R²=0.9690); hit_r2_cv (R²=0.8856); hit_r2_slope (R²=0.8792)
