# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: Solagum and Sepineo
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [90.0], 2: [7.0], 3: [15.0], 4: [12.0], 5: [0.8], 7: [95.0], 8: [1.4], 9: [0.4], 10: [23.0], 11: [2.9], 12: [1.0]}"
"# Per-cell sample labels: {1: '5%300K_0.577', 2: '10%300K_7.158', 3: '5%600K_3.254', 4: '6.5%600K_4.109', 5: '10%600K_64.25', 7: '1%sola_0.522', 8: '2%sola_35.86', 9: '3%sola_130.7', 10: '1%sep_2.148', 11: '1.5%sep_17.24', 12: '2%sep_50.11'}"
# Timestamp: 20260529_104903
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Low-torque liquid-contact hunt: skip Z-rows when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped rows use <25% and SKIPPED metrics
# Viscosity prediction mode: Non-Newtonian
# Predicted Viscosity Results
"# Cell,Cell_Label,RPM,Viscosity_kCp,a,b,flow_index,n_points_used,fit_success"
"# 7,1%sola_0.522,95.0,1.1839978304269752,0.5081535752905473,-1.1849310656413903,0.5586917442307832,20,True"
"# 8,2%sola_35.86,1.4,61.294052921157565,26.306460481183503,-0.2101068267096229,0.10000000000000002,7,True"
"# 9,3%sola_130.7,0.4,11973.054323818153,5138.649924385473,-6.112914428073783,1.9999999973249305,13,True"
"# 10,1%sep_2.148,23.0,212.7129091678514,91.29309406345553,-6.187415765827669,1.9999999999999998,21,True"
"# 11,1.5%sep_17.24,2.9,797.6289937802248,342.3300402490235,-4.274192498629786,1.9999999999999956,11,True"
"# 12,2%sep_50.11,1.0,5209.440011584203,2235.811163770044,-5.995170558833888,1.9999999999999976,15,True"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,7,1%sola_0.522,-65.700,95.0,15.02,35.610,0.374842,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.720,95.0,15.02,36.210,0.381158,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.740,95.0,15.02,36.530,0.384526,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.760,95.0,15.02,36.700,0.386316,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.780,95.0,15.02,36.880,0.388211,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.800,95.0,15.03,37.090,0.390421,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.820,95.0,15.02,37.310,0.392737,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
2,7,1%sola_0.522,-65.840,95.0,15.03,37.580,0.395579,normal,0.000000,0.994464,-0.115263,1.315789,1.315789,3.984247,0.000000,0.994464,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
2,7,1%sola_0.522,-65.860,95.0,15.02,37.850,0.398421,normal,0.250468,0.996305,-0.127895,0.000000,0.000000,-0.080038,-31.578947,0.996305,0.250468,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R^2=0.2505)
2,7,1%sola_0.522,-65.880,95.0,15.02,38.140,0.401474,normal,0.751576,0.997767,-0.138947,0.526316,0.526316,-0.322572,-27.631579,0.997767,0.751576,0.898010,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.7516); hit_r2_slope (R^2=0.8980)
