# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 11.61kcP
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260615_085140
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.350,3.3,15.07,30.530,9.336391,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.370,3.3,15.08,30.800,9.418960,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.390,3.3,15.08,31.050,9.495413,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.410,3.3,15.07,31.430,9.611621,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.430,3.3,15.03,32.350,9.892966,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.450,3.3,15.03,33.260,10.171254,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.470,3.3,15.02,34.330,10.498471,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
1,1,,-66.490,3.3,15.02,35.480,10.850153,hit_detected,0.000000,0.997138,-15.412844,61.162080,61.162080,-6.184579,0.000000,0.997138,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
1,1,,-66.510,3.3,15.09,36.700,11.223242,hit_detected,0.959198,0.997000,-16.697248,53.516820,53.516820,-9.255556,-3211.009174,0.997000,0.959198,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R^2=0.9592)
1,1,,-66.530,3.3,15.03,38.030,11.629969,hit_detected,0.919903,0.998241,-18.211009,84.097859,84.097859,0.823000,-3784.403670,0.998241,0.919903,0.881938,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9199); hit_r2_slope (R^2=0.8819)
1,1,,-66.550,3.3,15.03,39.340,12.030581,hit_detected,0.911104,0.999088,-19.220183,-15.290520,-15.290520,-3.815229,-2522.935780,0.999088,0.911104,0.898936,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9111); hit_r2_slope (R^2=0.8989)
1,1,,-66.570,3.3,15.07,41.070,12.559633,hit_detected,0.983137,0.995534,-21.131498,321.100917,321.100917,5.170790,-4778.287462,0.995534,0.983137,0.825019,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R^2=0.8250)
1,1,,-66.590,3.3,15.03,42.840,13.100917,hit_detected,0.966407,0.994463,-23.425076,30.581040,30.581040,1.170773,-5733.944954,0.994463,0.966407,0.880435,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9664); hit_r2_slope (R^2=0.8804)
1,1,,-66.610,3.3,15.01,44.820,13.706422,hit_detected,0.964177,0.995062,-26.116208,160.550459,160.550459,0.967126,-6727.828746,0.995062,0.964177,0.882300,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R^2=0.9642); hit_r2_slope (R^2=0.8823)
