# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: L10000cP_siltech_A11860cP_2
# Test RPMs (global fallback): [4.2]
# Timestamp: 20260512_160311
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Low-torque liquid-contact hunt: skip Z-rows when first sample at elapsed >= 5.0s is < 20.00% (regular runs only); skipped rows use <20% and SKIPPED metrics

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
3,16,,-64.640,4.2,15.02,22.300,5.309524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.660,4.2,15.03,22.760,5.419048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.680,4.2,15.02,23.320,5.552381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.700,4.2,15.02,23.770,5.659524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.720,4.2,15.03,24.340,5.795238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.740,4.2,15.02,24.850,5.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.760,4.2,15.02,25.420,6.052381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,insufficient_data
3,16,,-64.780,4.2,15.02,25.960,6.180952,0.000000,0.999759,-6.500000,-17.857143,-17.857143,1.395196,0.000000,0.999759,0.000000,0.000000,False,False,False,False,False,False,3,0.000000,False,
3,16,,-64.800,4.2,15.03,26.590,6.330952,0.377078,0.998772,-6.678571,53.571429,53.571429,-0.483262,-446.428571,0.998772,0.377078,0.000000,False,False,False,False,True,False,3,0.200000,False,hit_r2_cv (R²=0.3771)
3,16,,-64.820,4.2,15.02,27.180,6.471429,0.773032,0.999380,-6.940476,-23.809524,-23.809524,0.862143,-654.761905,0.999380,0.773032,0.859857,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.7730); hit_r2_slope (R²=0.8599)
3,16,,-64.840,4.2,15.03,27.860,6.633333,0.940724,0.998637,-7.261905,53.571429,53.571429,0.560609,-803.571429,0.998637,0.940724,0.878477,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9407); hit_r2_slope (R²=0.8785)
3,16,,-64.860,4.2,15.03,28.520,6.790476,0.952504,0.999395,-7.607143,-11.904762,-11.904762,0.064656,-863.095238,0.999395,0.952504,0.888730,False,False,False,False,True,True,3,0.400000,False,hit_r2_cv (R²=0.9525); hit_r2_slope (R²=0.8887)
3,16,,-64.880,4.2,15.02,29.270,6.969048,0.993836,0.998416,-7.976190,53.571429,53.571429,0.112780,-922.619048,0.998416,0.993836,0.889036,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8890)
3,16,,-64.900,4.2,15.02,29.980,7.138095,0.999700,0.999498,-8.345238,-23.809524,-23.809524,-0.227343,-922.619048,0.999498,0.999700,0.892857,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8929)
3,16,,-64.920,4.2,15.02,30.820,7.338095,0.998038,0.998394,-8.785714,77.380952,77.380952,0.584065,-1101.190476,0.998394,0.998038,0.880891,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8809)
3,16,,-64.940,4.2,15.03,31.630,7.530952,0.996814,0.999002,-9.250000,-17.857143,-17.857143,-0.031420,-1160.714286,0.999002,0.996814,0.889910,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8899)
3,16,,-64.960,4.2,15.02,32.550,7.750000,0.995259,0.998195,-9.773810,65.476190,65.476190,0.365222,-1309.523810,0.998195,0.995259,0.885333,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8853)
3,16,,-64.980,4.2,15.02,33.430,7.959524,0.999142,0.999491,-10.273810,-23.809524,-23.809524,-0.537534,-1250.000000,0.999491,0.999142,0.895028,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8950)
3,16,,-65.000,4.2,15.03,34.500,8.214286,0.996624,0.997722,-10.904762,113.095238,113.095238,1.012081,-1577.380952,0.997722,0.996624,0.875928,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8759)
3,16,,-65.020,4.2,15.02,35.440,8.438095,0.991625,0.999028,-11.392857,-77.380952,-77.380952,-1.646557,-1220.238095,0.999028,0.991625,0.899923,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8999)
3,16,,-65.040,4.2,15.02,36.630,8.721429,0.990235,0.997636,-12.107143,148.809524,148.809524,1.774374,-1785.714286,0.997636,0.990235,0.860121,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8601)
3,16,,-65.060,4.2,15.03,37.740,8.985714,0.990822,0.998684,-12.797619,-47.619048,-47.619048,-0.622193,-1726.190476,0.998684,0.990822,0.894479,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8945)
3,16,,-65.080,4.2,15.03,39.080,9.304762,0.984650,0.996743,-13.642857,136.904762,136.904762,0.986675,-2113.095238,0.996743,0.984650,0.878705,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8787)
3,16,,-65.100,4.2,15.02,40.430,9.626190,0.980076,0.998292,-14.797619,5.952381,5.952381,1.856160,-2886.904762,0.998292,0.980076,0.867908,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8679)
3,16,,-65.120,4.2,15.03,41.910,9.978571,0.986877,0.997566,-15.773810,77.380952,77.380952,-1.901195,-2440.476190,0.997566,0.986877,0.898811,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8988)
3,16,,-65.140,4.2,15.03,43.450,10.345238,0.996354,0.998975,-16.964286,35.714286,35.714286,1.001082,-2976.190476,0.998975,0.996354,0.879039,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8790)
3,16,,-65.160,4.2,15.02,45.340,10.795238,0.990811,0.995896,-18.500000,208.333333,208.333333,1.942482,-3839.285714,0.995896,0.990811,0.873813,True,False,True,False,False,True,3,0.600000,False,hit_2nd_deriv_drag (208.3333); hit_2nd_deriv_slope (-3839.2857); hit_r2_slope (R²=0.8738)
3,16,,-65.180,4.2,15.02,47.110,11.216667,0.989797,0.997408,-19.988095,-71.428571,-71.428571,-1.334122,-3720.238095,0.997408,0.989797,0.894371,False,False,False,False,False,True,3,0.200000,False,hit_r2_slope (R²=0.8944)
3,16,,-65.200,4.2,15.02,49.360,11.752381,0.989280,0.995988,-22.095238,285.714286,285.714286,3.317089,-5267.857143,0.995988,0.989280,0.863946,True,False,True,False,False,True,3,0.600000,False,hit_2nd_deriv_drag (285.7143); hit_2nd_deriv_slope (-5267.8571); hit_r2_slope (R²=0.8639)
3,16,,-65.220,4.2,15.03,51.560,12.276190,0.995106,0.997440,-24.095238,-29.761905,-29.761905,-1.982880,-5000.000000,0.997440,0.995106,0.895264,False,False,True,False,False,True,3,0.400000,False,hit_2nd_deriv_slope (-5000.0000); hit_r2_slope (R²=0.8953)
3,16,,-65.240,4.2,15.02,54.470,12.969048,0.984476,0.992604,-27.035714,422.619048,422.619048,4.749961,-7351.190476,0.992604,0.984476,0.859567,True,True,True,False,False,True,3,0.800000,True,hit_2nd_deriv_drag (422.6190); hit_2nd_deriv_cv (4.7500); hit_2nd_deriv_slope (-7351.1905); hit_r2_slope (R²=0.8596)
3,16,,-65.260,4.2,15.03,56.610,13.478571,0.972177,0.997586,-28.702381,-458.333333,-458.333333,-9.205952,-4166.666667,0.997586,0.972177,0.894378,True,True,True,False,True,True,3,1.000000,True,hit_2nd_deriv_drag (-458.3333); hit_2nd_deriv_cv (-9.2060); hit_2nd_deriv_slope (-4166.6667); hit_r2_cv (R²=0.9722); hit_r2_slope (R²=0.8944)
