# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: TIMS_SYY
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260625_083958
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.860,0.1,180.04,98.440,984.400000,False
1,1,,-65.860,0.2,165.06,89.240,446.200000,False
1,1,,-65.860,0.3,240.05,85.560,285.200000,False
1,1,,-65.860,0.4,90.07,96.740,241.850000,False
1,1,,-65.860,0.5,45.04,97.020,194.040000,False
1,1,,-65.860,0.6,210.01,80.970,134.950000,False
1,1,,-65.860,0.7,90.01,81.720,116.742857,False
1,1,,-65.880,0.1,120.06,67.160,671.600000,False
1,1,,-65.880,0.2,60.10,79.550,397.750000,False
1,1,,-65.880,0.3,45.02,84.050,280.166667,False
1,1,,-65.880,0.4,45.10,92.810,232.025000,False
1,1,,-65.880,0.5,120.07,79.040,158.080000,False
1,1,,-65.880,0.6,45.02,87.130,145.216667,False
1,1,,-65.880,0.7,45.03,89.380,127.685714,False
1,1,,-65.900,0.1,120.06,67.640,676.400000,False
1,1,,-65.900,0.2,60.02,80.940,404.700000,False
1,1,,-65.900,0.3,45.02,86.510,288.366667,False
1,1,,-65.900,0.4,45.02,93.530,233.825000,False
1,1,,-65.900,0.5,105.08,81.130,162.260000,False
1,1,,-65.900,0.6,60.00,91.100,151.833333,False
1,1,,-65.900,0.7,45.03,93.940,134.200000,False
1,1,,-65.920,0.1,120.06,69.050,690.500000,False
1,1,,-65.920,0.2,120.05,70.540,352.700000,False
1,1,,-65.920,0.3,45.01,81.480,271.600000,False
1,1,,-65.920,0.4,45.01,91.210,228.025000,False
1,1,,-65.920,0.5,105.08,84.630,169.260000,False
1,1,,-65.920,0.6,75.09,89.060,148.433333,False
1,1,,-65.920,0.7,45.03,97.670,139.528571,False
1,1,,-65.940,0.1,120.07,65.490,654.900000,False
1,1,,-65.940,0.2,60.09,75.830,379.150000,False
1,1,,-65.940,0.3,45.02,84.270,280.900000,False
1,1,,-65.940,0.4,45.01,89.850,224.625000,False
1,1,,-65.940,0.5,60.01,84.670,169.340000,False
1,1,,-65.940,0.6,45.02,95.320,158.866667,False
1,1,,-65.940,0.7,45.02,92.930,132.757143,False
1,1,,-65.960,0.1,120.05,67.780,677.800000,False
1,1,,-65.960,0.2,60.09,81.570,407.850000,False
1,1,,-65.960,0.3,90.08,75.730,252.433333,False
1,1,,-65.960,0.4,45.00,86.760,216.900000,False
1,1,,-65.960,0.5,45.03,92.810,185.620000,False
1,1,,-65.960,0.6,45.01,92.010,153.350000,False
1,1,,-65.960,0.7,60.10,96.420,137.742857,False
1,1,,-65.980,0.1,120.01,67.850,678.500000,False
1,1,,-65.980,0.2,60.09,81.810,409.050000,False
1,1,,-65.980,0.3,45.08,92.310,307.700000,False
1,1,,-65.980,0.4,75.03,87.820,219.550000,False
1,1,,-65.980,0.5,45.08,97.450,194.900000,False
1,1,,-65.980,0.6,75.09,93.830,156.383333,False
1,1,,-65.980,0.7,75.09,94.640,135.200000,False
1,1,,-66.000,0.1,120.05,69.530,695.300000,False
1,1,,-66.000,0.2,60.01,82.070,410.350000,False
1,1,,-66.000,0.3,90.08,79.970,266.566667,False
1,1,,-66.000,0.4,45.03,91.580,228.950000,False
1,1,,-66.000,0.5,45.03,95.850,191.700000,False
1,1,,-66.000,0.6,45.03,90.470,150.783333,False
1,1,,-66.000,0.7,90.07,96.400,137.714286,False
1,1,,-66.020,0.1,120.02,70.190,701.900000,False
1,1,,-66.020,0.2,60.10,83.120,415.600000,False
1,1,,-66.020,0.3,45.01,85.370,284.566667,False
1,1,,-66.020,0.4,45.03,93.550,233.875000,False
1,1,,-66.020,0.5,60.02,95.790,191.580000,False
1,1,,-66.020,0.6,60.04,89.250,148.750000,False
1,1,,-66.020,0.7,60.02,96.990,138.557143,False
1,1,,-66.040,0.1,120.05,71.860,718.600000,False
1,1,,-66.040,0.2,60.02,87.180,435.900000,False
1,1,,-66.040,0.3,45.03,94.170,313.900000,False
1,1,,-66.040,0.4,90.09,80.540,201.350000,False
1,1,,-66.040,0.5,105.10,87.520,175.040000,False
1,1,,-66.040,0.6,60.01,96.590,160.983333,False
1,1,,-66.040,0.7,45.03,98.620,140.885714,False
1,1,,-66.060,0.1,120.08,71.030,710.300000,False
1,1,,-66.060,0.2,60.01,81.250,406.250000,False
1,1,,-66.060,0.3,45.02,83.950,279.833333,False
1,1,,-66.060,0.4,45.01,93.080,232.700000,False
1,1,,-66.060,0.5,105.03,88.200,176.400000,False
1,1,,-66.060,0.6,45.01,98.650,164.416667,False
1,1,,-66.060,0.7,150.04,91.650,130.928571,False
1,1,,-66.080,0.1,120.04,67.300,673.000000,False
1,1,,-66.080,0.2,60.01,78.450,392.250000,False
1,1,,-66.080,0.3,45.02,86.910,289.700000,False
1,1,,-66.080,0.4,45.02,92.980,232.450000,False
1,1,,-66.080,0.5,90.10,86.610,173.220000,False
1,1,,-66.080,0.6,75.08,97.100,161.833333,False
