# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: sep1.5%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260623_102537
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {7: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,7,,-65.720,1.2,25.05,36.050,30.041667,False
2,7,,-65.720,1.5,20.00,38.870,25.913333,False
2,7,,-65.720,1.8,15.00,40.680,22.600000,False
2,7,,-65.720,2.1,20.01,42.970,20.461905,False
2,7,,-65.720,2.4,20.05,44.870,18.695833,False
2,7,,-65.720,2.7,15.03,46.460,17.207407,False
2,7,,-65.720,2.9,15.04,47.300,16.310345,False
2,7,,-65.720,3.4,15.04,49.330,14.508824,False
2,7,,-65.720,3.9,15.03,51.220,13.133333,False
2,7,,-65.720,4.9,15.03,54.370,11.095918,False
2,7,,-65.720,5.8,15.03,56.650,9.767241,False
2,7,,-65.740,1.2,15.03,39.880,33.233333,False
2,7,,-65.740,1.5,15.03,41.770,27.846667,False
2,7,,-65.740,1.8,15.02,44.000,24.444444,False
2,7,,-65.740,2.1,15.04,45.340,21.590476,False
2,7,,-65.740,2.4,15.03,46.920,19.550000,False
2,7,,-65.740,2.7,15.03,48.640,18.014815,False
2,7,,-65.740,2.9,20.09,49.200,16.965517,False
2,7,,-65.740,3.4,20.09,50.950,14.985294,False
2,7,,-65.740,3.9,15.04,52.600,13.487179,False
