# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: sep_1%
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260623_151441
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {7: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,7,,-65.920,11.0,20.09,27.080,2.461818,False
2,7,,-65.920,13.0,15.03,28.560,2.196923,False
2,7,,-65.920,15.0,15.03,29.820,1.988000,False
2,7,,-65.920,17.0,15.03,30.830,1.813529,False
2,7,,-65.920,21.0,15.03,32.910,1.567143,False
2,7,,-65.920,23.0,15.03,33.770,1.468261,False
2,7,,-65.920,27.0,15.03,35.540,1.316296,False
2,7,,-65.920,33.0,15.03,37.820,1.146061,False
2,7,,-65.920,39.0,15.03,39.850,1.021795,False
2,7,,-65.920,46.0,15.03,42.050,0.914130,False
2,7,,-65.940,11.0,15.03,26.800,2.436364,False
2,7,,-65.940,13.0,15.04,28.260,2.173846,False
2,7,,-65.940,15.0,15.04,29.610,1.974000,False
2,7,,-65.940,17.0,15.03,30.760,1.809412,False
2,7,,-65.940,21.0,15.03,32.630,1.553810,False
2,7,,-65.940,23.0,15.05,33.850,1.471739,False
2,7,,-65.940,27.0,15.04,35.590,1.318148,False
2,7,,-65.940,33.0,15.02,37.900,1.148485,False
2,7,,-65.940,39.0,15.04,40.100,1.028205,False
2,7,,-65.940,46.0,15.04,42.400,0.921739,False
2,7,,-65.960,11.0,15.03,27.070,2.460909,False
2,7,,-65.960,13.0,15.04,28.490,2.191538,False
2,7,,-65.960,15.0,15.04,29.760,1.984000,False
2,7,,-65.960,17.0,15.02,32.310,1.900588,False
2,7,,-65.960,21.0,15.03,34.710,1.652857,False
2,7,,-65.960,23.0,15.03,35.730,1.553478,False
2,7,,-65.960,27.0,15.04,37.510,1.389259,False
2,7,,-65.960,33.0,15.04,40.060,1.213939,False
2,7,,-65.960,39.0,15.02,42.360,1.086154,False
2,7,,-65.960,46.0,15.07,44.850,0.975000,False
2,7,,-65.980,11.0,15.03,28.340,2.576364,False
2,7,,-65.980,13.0,15.03,29.920,2.301538,False
2,7,,-65.980,15.0,15.04,31.320,2.088000,False
2,7,,-65.980,17.0,15.03,32.720,1.924706,False
2,7,,-65.980,21.0,15.02,34.930,1.663333,False
2,7,,-65.980,23.0,15.02,36.000,1.565217,False
2,7,,-65.980,27.0,15.03,37.890,1.403333,False
2,7,,-65.980,33.0,15.03,40.580,1.229697,False
2,7,,-65.980,39.0,15.03,42.830,1.098205,False
2,7,,-65.980,46.0,15.03,45.310,0.985000,False
2,7,,-66.000,11.0,15.03,28.670,2.606364,False
2,7,,-66.000,13.0,15.03,30.340,2.333846,False
2,7,,-66.000,15.0,15.03,31.770,2.118000,False
2,7,,-66.000,17.0,15.03,33.090,1.946471,False
2,7,,-66.000,21.0,15.03,35.420,1.686667,False
2,7,,-66.000,23.0,15.03,36.450,1.584783,False
2,7,,-66.000,27.0,15.03,38.450,1.424074,False
2,7,,-66.000,33.0,15.04,41.050,1.243939,False
2,7,,-66.000,39.0,15.03,43.430,1.113590,False
2,7,,-66.000,46.0,15.03,45.950,0.998913,False
2,7,,-66.020,11.0,15.03,29.120,2.647273,False
2,7,,-66.020,13.0,15.02,30.720,2.363077,False
2,7,,-66.020,15.0,15.03,32.240,2.149333,False
2,7,,-66.020,17.0,15.03,33.590,1.975882,False
2,7,,-66.020,21.0,15.03,36.030,1.715714,False
2,7,,-66.020,23.0,15.04,37.090,1.612609,False
2,7,,-66.020,27.0,15.03,39.010,1.444815,False
2,7,,-66.020,33.0,15.03,41.620,1.261212,False
2,7,,-66.020,39.0,15.03,44.180,1.132821,False
2,7,,-66.020,46.0,15.03,46.710,1.015435,False
2,7,,-66.040,11.0,15.04,29.640,2.694545,False
2,7,,-66.040,13.0,15.05,31.240,2.403077,False
2,7,,-66.040,15.0,15.03,32.720,2.181333,False
2,7,,-66.040,17.0,15.04,34.160,2.009412,False
2,7,,-66.040,21.0,15.03,36.570,1.741429,False
2,7,,-66.040,23.0,15.02,37.680,1.638261,False
2,7,,-66.040,27.0,15.02,39.650,1.468519,False
2,7,,-66.040,33.0,15.07,42.410,1.285152,False
2,7,,-66.040,39.0,15.10,44.870,1.150513,False
2,7,,-66.040,46.0,15.06,47.540,1.033478,False
2,7,,-66.060,11.0,15.03,30.060,2.732727,False
2,7,,-66.060,13.0,15.09,31.690,2.437692,False
2,7,,-66.060,15.0,15.02,33.170,2.211333,False
2,7,,-66.060,17.0,15.04,34.610,2.035882,False
2,7,,-66.060,21.0,15.03,37.040,1.763810,False
2,7,,-66.060,23.0,15.02,38.190,1.660435,False
2,7,,-66.060,27.0,15.03,40.230,1.490000,False
2,7,,-66.060,33.0,15.03,43.120,1.306667,False
2,7,,-66.060,39.0,15.04,45.550,1.167949,False
2,7,,-66.060,46.0,15.02,48.220,1.048261,False
2,7,,-66.080,11.0,15.04,30.530,2.775455,False
2,7,,-66.080,13.0,15.04,32.280,2.483077,False
2,7,,-66.080,15.0,15.04,33.710,2.247333,False
2,7,,-66.080,17.0,15.04,35.160,2.068235,False
2,7,,-66.080,21.0,15.03,37.720,1.796190,False
2,7,,-66.080,23.0,15.03,38.780,1.686087,False
2,7,,-66.080,27.0,15.04,40.990,1.518148,False
2,7,,-66.080,33.0,15.05,43.800,1.327273,False
2,7,,-66.080,39.0,15.02,46.310,1.187436,False
2,7,,-66.080,46.0,15.03,49.070,1.066739,False
2,7,,-66.100,11.0,15.04,31.030,2.820909,False
2,7,,-66.100,13.0,15.04,32.730,2.517692,False
2,7,,-66.100,15.0,15.02,34.320,2.288000,False
2,7,,-66.100,17.0,15.02,35.770,2.104118,False
2,7,,-66.100,21.0,15.04,38.340,1.825714,False
2,7,,-66.100,23.0,15.04,39.440,1.714783,False
2,7,,-66.100,27.0,15.03,41.620,1.541481,False
2,7,,-66.100,33.0,15.04,44.410,1.345758,False
2,7,,-66.100,39.0,15.05,47.170,1.209487,False
2,7,,-66.100,46.0,15.03,49.850,1.083696,False
2,7,,-66.120,11.0,15.03,31.630,2.875455,False
2,7,,-66.120,13.0,15.03,33.280,2.560000,False
2,7,,-66.120,15.0,15.03,34.910,2.327333,False
2,7,,-66.120,17.0,15.02,36.420,2.142353,False
2,7,,-66.120,21.0,15.04,39.060,1.860000,False
2,7,,-66.120,23.0,15.04,40.240,1.749565,False
2,7,,-66.120,27.0,15.02,42.380,1.569630,False
2,7,,-66.120,33.0,15.04,45.290,1.372424,False
2,7,,-66.120,39.0,15.03,48.070,1.232564,False
2,7,,-66.120,46.0,15.03,50.930,1.107174,False
2,7,,-66.140,11.0,15.04,32.170,2.924545,False
2,7,,-66.140,13.0,15.04,33.900,2.607692,False
2,7,,-66.140,15.0,15.03,35.460,2.364000,False
2,7,,-66.140,17.0,15.02,37.030,2.178235,False
2,7,,-66.140,21.0,15.02,39.730,1.891905,False
2,7,,-66.140,23.0,15.03,41.010,1.783043,False
2,7,,-66.140,27.0,15.03,43.150,1.598148,False
2,7,,-66.140,33.0,15.03,46.270,1.402121,False
2,7,,-66.140,39.0,15.03,48.920,1.254359,False
2,7,,-66.140,46.0,15.03,51.880,1.127826,False
2,7,,-66.160,11.0,15.02,32.780,2.980000,False
2,7,,-66.160,13.0,15.03,34.670,2.666923,False
2,7,,-66.160,15.0,15.03,36.200,2.413333,False
2,7,,-66.160,17.0,15.04,37.760,2.221176,False
2,7,,-66.160,21.0,15.03,40.560,1.931429,False
2,7,,-66.160,23.0,15.04,41.790,1.816957,False
2,7,,-66.160,27.0,15.04,44.200,1.637037,False
2,7,,-66.160,33.0,15.03,47.240,1.431515,False
2,7,,-66.160,39.0,15.02,50.050,1.283333,False
2,7,,-66.160,46.0,15.03,53.010,1.152391,False
2,7,,-66.180,11.0,15.02,33.480,3.043636,False
2,7,,-66.180,13.0,15.03,35.340,2.718462,False
2,7,,-66.180,15.0,15.09,36.950,2.463333,False
2,7,,-66.180,17.0,15.07,38.450,2.261765,False
2,7,,-66.180,21.0,15.03,41.320,1.967619,False
2,7,,-66.180,23.0,15.03,42.520,1.848696,False
2,7,,-66.180,27.0,15.03,44.910,1.663333,False
2,7,,-66.180,33.0,15.03,47.940,1.452727,False
2,7,,-66.180,39.0,15.04,50.890,1.304872,False
2,7,,-66.180,46.0,15.04,53.890,1.171522,False
2,7,,-66.200,11.0,15.03,34.090,3.099091,False
2,7,,-66.200,13.0,15.02,35.890,2.760769,False
2,7,,-66.200,15.0,15.01,37.650,2.510000,False
2,7,,-66.200,17.0,15.03,39.230,2.307647,False
2,7,,-66.200,21.0,15.03,42.120,2.005714,False
2,7,,-66.200,23.0,15.03,43.480,1.890435,False
2,7,,-66.200,27.0,15.02,45.820,1.697037,False
2,7,,-66.200,33.0,15.03,48.980,1.484242,False
2,7,,-66.200,39.0,15.02,51.970,1.332564,False
2,7,,-66.200,46.0,15.02,55.090,1.197609,False
2,7,,-66.220,11.0,15.04,34.720,3.156364,False
2,7,,-66.220,13.0,15.04,36.590,2.814615,False
2,7,,-66.220,15.0,15.04,38.340,2.556000,False
2,7,,-66.220,17.0,15.03,40.000,2.352941,False
2,7,,-66.220,21.0,15.04,42.960,2.045714,False
2,7,,-66.220,23.0,15.03,44.290,1.925652,False
2,7,,-66.220,27.0,15.02,46.780,1.732593,False
2,7,,-66.220,33.0,15.03,50.090,1.517879,False
2,7,,-66.220,39.0,15.03,53.000,1.358974,False
2,7,,-66.220,46.0,15.03,56.330,1.224565,False
2,7,,-66.240,11.0,35.06,41.640,3.785455,True
2,7,,-66.240,13.0,25.06,39.290,3.022308,True
2,7,,-66.240,15.0,35.05,50.300,3.353333,True
2,7,,-66.240,17.0,35.07,50.290,2.958235,True
2,7,,-66.240,21.0,35.06,52.200,2.485714,True
2,7,,-66.240,23.0,15.03,50.980,2.216522,True
2,7,,-66.240,27.0,35.05,59.730,2.212222,True
2,7,,-66.240,33.0,35.06,52.970,1.605152,True
2,7,,-66.240,39.0,35.05,59.080,1.514872,True
2,7,,-66.240,46.0,35.07,63.550,1.381522,True
2,7,,-66.260,11.0,35.06,41.060,3.732727,True
2,7,,-66.260,13.0,35.06,43.210,3.323846,True
2,7,,-66.260,15.0,35.05,51.910,3.460667,True
2,7,,-66.260,17.0,35.07,47.750,2.808824,True
2,7,,-66.260,21.0,35.06,54.490,2.594762,True
2,7,,-66.260,23.0,35.05,57.630,2.505652,True
2,7,,-66.260,27.0,35.06,49.950,1.850000,True
2,7,,-66.260,33.0,35.05,60.300,1.827273,True
2,7,,-66.260,39.0,35.06,61.120,1.567179,True
2,7,,-66.260,46.0,35.10,59.650,1.296739,True
2,7,,-66.280,11.0,35.06,42.700,3.881818,True
2,7,,-66.280,13.0,35.06,46.620,3.586154,True
2,7,,-66.280,15.0,35.05,41.950,2.796667,True
2,7,,-66.280,17.0,35.09,48.950,2.879412,True
2,7,,-66.280,21.0,35.02,49.690,2.366190,True
2,7,,-66.280,23.0,35.04,49.420,2.148696,True
2,7,,-66.280,27.0,35.05,57.540,2.131111,True
2,7,,-66.280,33.0,35.07,58.730,1.779697,True
2,7,,-66.280,39.0,35.06,56.780,1.455897,True
2,7,,-66.280,46.0,35.05,68.230,1.483261,True
