# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: sep_1_1.5
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260623_090345
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

# Cell termination methods: {1: 'fail_safe'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.660,11.0,15.04,25.480,2.316364,False
1,1,,-65.660,13.0,25.06,27.170,2.090000,False
1,1,,-65.660,15.0,20.10,28.420,1.894667,False
1,1,,-65.660,17.0,15.04,29.170,1.715882,False
1,1,,-65.660,21.0,15.04,30.970,1.474762,False
1,1,,-65.660,23.0,35.09,31.900,1.386957,False
1,1,,-65.660,27.0,15.06,32.590,1.207037,False
1,1,,-65.660,33.0,15.05,35.230,1.067576,False
1,1,,-65.660,39.0,30.02,36.220,0.928718,False
1,1,,-65.660,46.0,35.06,40.280,0.875652,False
1,1,,-65.680,11.0,15.03,26.690,2.426364,False
1,1,,-65.680,13.0,15.03,27.800,2.138462,False
1,1,,-65.680,15.0,20.03,28.960,1.930667,False
1,1,,-65.680,17.0,25.05,30.360,1.785882,False
1,1,,-65.680,21.0,15.03,31.920,1.520000,False
1,1,,-65.680,23.0,20.09,33.020,1.435652,False
1,1,,-65.680,27.0,15.03,34.840,1.290370,False
1,1,,-65.680,33.0,35.06,37.180,1.126667,False
1,1,,-65.680,39.0,20.08,38.880,0.996923,False
1,1,,-65.680,46.0,15.04,40.830,0.887609,False
1,1,,-65.700,11.0,25.04,26.690,2.426364,False
1,1,,-65.700,13.0,25.06,27.860,2.143077,False
1,1,,-65.700,15.0,15.05,29.470,1.964667,False
1,1,,-65.700,17.0,30.03,30.560,1.797647,False
1,1,,-65.700,21.0,15.04,32.710,1.557619,False
1,1,,-65.700,23.0,15.03,33.410,1.452609,False
1,1,,-65.700,27.0,15.04,35.060,1.298519,False
1,1,,-65.700,33.0,15.03,37.160,1.126061,False
1,1,,-65.700,39.0,35.07,39.070,1.001795,False
1,1,,-65.700,46.0,35.06,42.280,0.919130,False
1,1,,-65.720,11.0,15.04,27.730,2.520909,False
1,1,,-65.720,13.0,15.03,29.080,2.236923,False
1,1,,-65.720,15.0,25.05,29.960,1.997333,False
1,1,,-65.720,17.0,20.09,31.280,1.840000,False
1,1,,-65.720,21.0,15.02,33.470,1.593810,False
1,1,,-65.720,23.0,25.06,34.510,1.500435,False
1,1,,-65.720,27.0,25.06,36.160,1.339259,False
1,1,,-65.720,33.0,20.02,38.160,1.156364,False
1,1,,-65.720,39.0,35.07,39.980,1.025128,False
1,1,,-65.720,46.0,25.06,42.580,0.925652,False
1,1,,-65.740,11.0,15.04,28.210,2.564545,False
1,1,,-65.740,13.0,25.04,29.650,2.280769,False
1,1,,-65.740,15.0,15.03,31.120,2.074667,False
1,1,,-65.740,17.0,15.03,32.410,1.906471,False
1,1,,-65.740,21.0,15.03,34.150,1.626190,False
1,1,,-65.740,23.0,20.09,35.510,1.543913,False
1,1,,-65.740,27.0,15.03,36.950,1.368519,False
1,1,,-65.740,33.0,35.06,39.840,1.207273,False
1,1,,-65.740,39.0,35.07,41.570,1.065897,False
1,1,,-65.740,46.0,35.08,43.330,0.941957,False
1,1,,-65.760,11.0,15.03,29.180,2.652727,False
1,1,,-65.760,13.0,15.03,30.490,2.345385,False
1,1,,-65.760,15.0,35.07,31.230,2.082000,False
1,1,,-65.760,17.0,15.03,33.060,1.944706,False
1,1,,-65.760,21.0,20.10,35.130,1.672857,False
1,1,,-65.760,23.0,15.02,36.680,1.594783,False
1,1,,-65.760,27.0,15.03,38.130,1.412222,False
1,1,,-65.760,33.0,35.06,40.500,1.227273,False
1,1,,-65.760,39.0,35.00,43.270,1.109487,False
1,1,,-65.760,46.0,15.09,44.870,0.975435,False
1,1,,-65.780,11.0,15.04,29.730,2.702727,False
1,1,,-65.780,13.0,20.08,31.030,2.386923,False
1,1,,-65.780,15.0,30.09,32.140,2.142667,False
1,1,,-65.780,17.0,25.02,33.620,1.977647,False
1,1,,-65.780,21.0,15.04,36.190,1.723333,False
1,1,,-65.780,23.0,15.03,37.120,1.613913,False
1,1,,-65.780,27.0,15.04,39.020,1.445185,False
1,1,,-65.780,33.0,30.01,41.460,1.256364,False
1,1,,-65.780,39.0,15.04,43.160,1.106667,False
1,1,,-65.780,46.0,25.05,45.580,0.990870,False
1,1,,-65.800,11.0,15.03,30.510,2.773636,False
1,1,,-65.800,13.0,15.04,31.430,2.417692,False
1,1,,-65.800,15.0,15.03,33.100,2.206667,False
1,1,,-65.800,17.0,20.09,34.330,2.019412,False
1,1,,-65.800,21.0,15.02,36.540,1.740000,False
1,1,,-65.800,23.0,35.07,37.650,1.636957,False
1,1,,-65.800,27.0,15.03,39.700,1.470370,False
1,1,,-65.800,33.0,35.06,41.690,1.263333,False
1,1,,-65.800,39.0,20.09,44.650,1.144872,False
1,1,,-65.800,46.0,35.10,47.850,1.040217,False
1,1,,-65.820,11.0,15.03,31.580,2.870909,False
1,1,,-65.820,13.0,15.03,32.390,2.491538,False
1,1,,-65.820,15.0,20.08,34.200,2.280000,False
1,1,,-65.820,17.0,15.04,35.600,2.094118,False
1,1,,-65.820,21.0,15.04,37.470,1.784286,False
1,1,,-65.820,23.0,20.09,38.560,1.676522,False
1,1,,-65.820,27.0,25.05,40.680,1.506667,False
1,1,,-65.820,33.0,35.06,43.970,1.332424,False
1,1,,-65.820,39.0,25.03,46.010,1.179744,False
1,1,,-65.820,46.0,25.04,48.420,1.052609,False
1,1,,-65.840,11.0,15.02,31.750,2.886364,False
1,1,,-65.840,13.0,20.09,33.890,2.606923,False
1,1,,-65.840,15.0,35.07,34.670,2.311333,False
1,1,,-65.840,17.0,20.08,36.630,2.154706,False
1,1,,-65.840,21.0,20.08,39.010,1.857619,False
1,1,,-65.840,23.0,15.04,40.080,1.742609,False
1,1,,-65.840,27.0,30.09,41.620,1.541481,False
1,1,,-65.840,33.0,35.06,44.750,1.356061,False
1,1,,-65.840,39.0,35.06,46.340,1.188205,False
1,1,,-65.840,46.0,15.03,49.810,1.082826,False
1,1,,-65.860,11.0,15.03,32.720,2.974545,False
1,1,,-65.860,13.0,15.03,34.800,2.676923,False
1,1,,-65.860,15.0,25.04,35.590,2.372667,False
1,1,,-65.860,17.0,30.09,37.160,2.185882,False
1,1,,-65.860,21.0,15.03,39.010,1.857619,False
1,1,,-65.860,23.0,20.08,40.150,1.745652,False
1,1,,-65.860,27.0,35.07,42.620,1.578519,False
1,1,,-65.860,33.0,35.06,44.720,1.355152,False
1,1,,-65.860,39.0,35.06,47.730,1.223846,False
1,1,,-65.860,46.0,15.03,50.180,1.090870,False
1,1,,-65.880,11.0,25.05,33.030,3.002727,False
1,1,,-65.880,13.0,30.01,34.470,2.651538,False
1,1,,-65.880,15.0,15.03,36.430,2.428667,False
1,1,,-65.880,17.0,20.08,38.140,2.243529,False
1,1,,-65.880,21.0,20.08,40.410,1.924286,False
1,1,,-65.880,23.0,15.03,41.620,1.809565,False
1,1,,-65.880,27.0,30.01,43.750,1.620370,False
1,1,,-65.880,33.0,35.06,46.760,1.416970,False
1,1,,-65.880,39.0,35.05,49.480,1.268718,False
1,1,,-65.880,46.0,35.07,50.880,1.106087,False
1,1,,-65.900,11.0,15.04,34.520,3.138182,False
1,1,,-65.900,13.0,15.02,36.110,2.777692,False
1,1,,-65.900,15.0,20.00,37.340,2.489333,False
1,1,,-65.900,17.0,35.07,39.070,2.298235,False
1,1,,-65.900,21.0,15.02,41.880,1.994286,False
1,1,,-65.900,23.0,20.09,42.610,1.852609,False
1,1,,-65.900,27.0,35.07,44.510,1.648519,False
1,1,,-65.900,33.0,35.06,48.110,1.457879,False
1,1,,-65.900,39.0,35.07,50.440,1.293333,False
1,1,,-65.900,46.0,20.08,53.330,1.159348,False
1,1,,-65.920,11.0,15.05,35.570,3.233636,False
1,1,,-65.920,13.0,15.02,37.500,2.884615,False
1,1,,-65.920,15.0,25.05,38.740,2.582667,False
1,1,,-65.920,17.0,25.05,39.890,2.346471,False
1,1,,-65.920,21.0,25.04,42.740,2.035238,False
1,1,,-65.920,23.0,25.05,44.050,1.915217,False
1,1,,-65.920,27.0,35.08,45.950,1.701852,False
1,1,,-65.920,33.0,25.05,49.540,1.501212,False
1,1,,-65.920,39.0,35.06,51.770,1.327436,False
1,1,,-65.920,46.0,15.01,54.340,1.181304,False
