# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 4kcP
# Test RPMs (global fallback): [8.0]
# Per-cell sample labels: {4: '4kcP'}
# Timestamp: 20260429_090047
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,4,4kcP,-65.500,8.0,15.05,30.810,3.851250,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.520,8.0,15.04,31.550,3.943750,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.540,8.0,15.04,32.220,4.027500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.560,8.0,15.05,32.980,4.122500,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.580,8.0,15.04,33.690,4.211250,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.600,8.0,15.04,34.450,4.306250,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.620,8.0,15.04,35.210,4.401250,0.000000,0.000000,0.000000,0.000000,0.000000,False,insufficient_data
1,4,4kcP,-65.640,8.0,15.04,36.110,4.513750,0.000000,0.998081,-4.862500,43.750000,0.000000,False,
1,4,4kcP,-65.660,8.0,15.04,36.950,4.618750,0.616890,0.998740,-5.112500,-18.750000,0.200000,False,hit_r2_cv (R²=0.6169)
1,4,4kcP,-65.680,8.0,15.05,37.960,4.745000,0.899412,0.997847,-5.475000,53.125000,0.400000,False,hit_r2_cv (R²=0.8994); hit_r2_slope (R²=0.8612)
1,4,4kcP,-65.700,8.0,15.04,38.900,4.862500,0.982264,0.999105,-5.768750,-21.875000,0.200000,False,hit_r2_slope (R²=0.8995)
1,4,4kcP,-65.720,8.0,15.04,40.020,5.002500,0.994342,0.997848,-6.106250,56.250000,0.200000,False,hit_r2_slope (R²=0.8840)
1,4,4kcP,-65.740,8.0,15.04,41.060,5.132500,0.991467,0.999259,-6.425000,-25.000000,0.200000,False,hit_r2_slope (R²=0.8955)
1,4,4kcP,-65.760,8.0,15.04,42.370,5.296250,0.992237,0.996921,-6.862500,84.375000,0.200000,False,hit_r2_slope (R²=0.8674)
1,4,4kcP,-65.780,8.0,15.04,43.590,5.448750,0.990022,0.998332,-7.331250,-28.125000,0.200000,False,hit_r2_slope (R²=0.8889)
1,4,4kcP,-65.800,8.0,15.04,45.090,5.636250,0.983876,0.996472,-7.918750,87.500000,0.200000,False,hit_r2_slope (R²=0.8766)
1,4,4kcP,-65.820,8.0,15.04,46.500,5.812500,0.996781,0.998689,-8.500000,-28.125000,0.200000,False,hit_r2_slope (R²=0.8934)
1,4,4kcP,-65.840,8.0,15.04,48.240,6.030000,0.998170,0.996581,-9.156250,103.125000,0.200000,False,hit_r2_slope (R²=0.8853)
1,4,4kcP,-65.860,8.0,15.04,49.840,6.230000,0.998125,0.998710,-9.781250,-43.750000,0.200000,False,hit_r2_slope (R²=0.8951)
1,4,4kcP,-65.880,8.0,15.05,51.840,6.480000,0.998900,0.996755,-10.525000,125.000000,0.200000,False,hit_r2_slope (R²=0.8811)
1,4,4kcP,-65.900,8.0,15.04,53.960,6.745000,0.983410,0.996731,-11.575000,37.500000,0.200000,False,hit_r2_slope (R²=0.8643)
1,4,4kcP,-65.920,8.0,15.04,56.400,7.050000,0.974067,0.994398,-12.775000,100.000000,0.400000,False,hit_r2_cv (R²=0.9741); hit_r2_slope (R²=0.8844)
1,4,4kcP,-65.940,8.0,15.05,59.090,7.386250,0.977870,0.996082,-14.412500,78.125000,0.400000,False,hit_2nd_deriv_slope (-4093.7500); hit_r2_slope (R²=0.8680)
1,4,4kcP,-65.960,8.0,35.00,64.700,8.087500,0.830909,0.954689,-19.281250,912.500000,1.000000,True,hit_2nd_deriv_drag (912.5000); hit_2nd_deriv_cv (33.0850); hit_2nd_deriv_slope (-12171.8750); hit_r2_drag (R²=0.9547); hit_r2_cv (R²=0.8309); hit_r2_slope (R²=0.7515)
1,4,4kcP,-65.980,8.0,35.09,67.000,8.375000,0.916483,0.976079,-21.487500,-1034.375000,1.000000,True,hit_2nd_deriv_drag (-1034.3750); hit_2nd_deriv_cv (-35.4098); hit_2nd_deriv_slope (-5515.6250); hit_r2_cv (R²=0.9165); hit_r2_slope (R²=0.8837)
1,4,4kcP,-66.000,8.0,35.08,62.180,7.772500,0.198048,0.525982,-12.168750,-2225.000000,1.000000,True,hit_2nd_deriv_drag (-2225.0000); hit_2nd_deriv_cv (-59.9768); hit_2nd_deriv_slope (23296.8750); hit_r2_drag (R²=0.5260); hit_r2_cv (R²=0.1980); hit_r2_slope (R²=0.2454)
