# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: TIMS_HY500
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260625_115728
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Viscosity prediction mode: off

# Cell termination methods: {7: 'normal'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,7,,-65.820,0.1,165.03,76.130,761.300000,False
2,7,,-65.820,0.2,45.07,89.950,449.750000,False
2,7,,-65.820,0.3,45.02,98.550,328.500000,False
2,7,,-65.840,0.1,45.03,82.760,827.600000,False
2,7,,-65.840,0.2,45.05,93.600,468.000000,False
2,7,,-65.860,0.1,45.04,88.500,885.000000,False
2,7,,-65.860,0.2,45.01,98.970,494.850000,False
2,7,,-65.880,0.1,45.03,89.440,894.400000,False
2,7,,-65.880,0.2,165.07,99.870,499.350000,False
2,7,,-65.900,0.1,45.02,90.550,905.500000,False
2,7,,-65.920,0.1,45.04,92.680,926.800000,False
2,7,,-65.940,0.1,45.01,94.290,942.900000,False
2,7,,-65.960,0.1,45.01,95.720,957.200000,False
2,7,,-65.980,0.1,45.02,96.150,961.500000,False
2,7,,-66.000,0.1,45.01,97.150,971.500000,False
2,7,,-66.020,0.1,45.01,97.390,973.900000,False
2,7,,-66.040,0.1,45.09,98.150,981.500000,False
2,7,,-66.060,0.1,45.09,98.670,986.700000,False
2,7,,-66.080,0.1,45.03,99.700,997.000000,False
2,7,,-66.100,0.1,30.06,99.800,998.000000,False
2,7,,-66.120,0.1,15.06,99.490,994.900000,False
