# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: 11.61kcP
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260615_152716
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-66.000,1.0,3.02,0.020,0.020000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.020,1.0,3.03,0.080,0.080000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.040,1.0,3.02,0.170,0.170000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.060,1.0,3.02,0.230,0.230000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.080,1.0,3.02,0.220,0.220000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.100,1.0,3.02,0.150,0.150000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.120,1.0,3.02,0.100,0.100000,hit_detected,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-66.140,1.0,3.02,0.050,0.050000,hit_detected,0.000000,0.968067,2.400000,-0.000000,-0.000000,577.256602,0.000000,0.968067,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.9681)
1,1,,-66.160,1.0,3.02,0.060,0.060000,hit_detected,0.012002,0.894523,2.100000,150.000000,150.000000,-262.640341,-750.000000,0.894523,0.012002,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.8945); hit_r2_cv (R^2=0.0120)
1,1,,-66.180,1.0,3.02,0.120,0.120000,hit_detected,0.357269,0.144509,0.500000,125.000000,125.000000,-588.266237,-4000.000000,0.144509,0.357269,0.661811,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1445); hit_r2_cv (R^2=0.3573); hit_r2_slope (R^2=0.6618)
1,1,,-66.200,1.0,3.01,0.200,0.200000,hit_detected,0.337481,0.509078,-1.350000,50.000000,50.000000,678.041854,-4625.000000,0.509078,0.337481,0.883468,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.5091); hit_r2_cv (R^2=0.3375); hit_r2_slope (R^2=0.8835)
1,1,,-66.220,1.0,3.01,0.260,0.260000,hit_detected,0.202904,0.953771,-2.800000,-50.000000,-50.000000,-86.482506,-3625.000000,0.953771,0.202904,0.899842,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9538); hit_r2_cv (R^2=0.2029); hit_r2_slope (R^2=0.8998)
1,1,,-66.240,1.0,3.01,0.190,0.190000,hit_detected,0.008621,0.668896,-2.000000,-325.000000,-325.000000,-634.293727,2000.000000,0.668896,0.008621,0.358923,True,False,False,True,True,True,1,0.800000,True,hit_2nd_deriv_drag (-325.0000); hit_r2_drag (R^2=0.6689); hit_r2_cv (R^2=0.0086); hit_r2_slope (R^2=0.3589)
1,1,,-66.260,1.0,3.01,0.130,0.130000,hit_detected,0.163674,0.000769,-0.050000,25.000000,25.000000,93.937618,4875.000000,0.000769,0.163674,0.784698,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0008); hit_r2_cv (R^2=0.1637); hit_r2_slope (R^2=0.7847)
1,1,,-66.280,1.0,3.01,0.070,0.070000,hit_detected,0.559158,0.724286,1.950000,-0.000000,-0.000000,578.319436,5000.000000,0.724286,0.559158,0.891505,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7243); hit_r2_cv (R^2=0.5592); hit_r2_slope (R^2=0.8915)
1,1,,-66.300,1.0,3.01,0.060,0.060000,hit_detected,0.039287,0.956153,2.600000,125.000000,125.000000,126.152983,1625.000000,0.956153,0.039287,0.862577,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9562); hit_r2_cv (R^2=0.0393); hit_r2_slope (R^2=0.8626)
