# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: TIMS_B41
# Test RPMs (global fallback): [0.8]
# Timestamp: 20260625_130511
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Completed cells: [11]
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

# Cell termination methods: {11: 'user_stop'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,11,,-65.300,0.1,135.08,57.340,573.400000,False
2,11,,-65.300,0.2,75.09,85.410,427.050000,False
2,11,,-65.300,0.3,15.04,97.240,324.133333,False
2,11,,-65.320,0.1,105.08,60.330,603.300000,False
2,11,,-65.320,0.2,75.09,82.840,414.200000,False
2,11,,-65.320,0.3,255.08,99.410,331.366667,False
2,11,,-65.340,0.1,90.09,59.960,599.600000,False
2,11,,-65.340,0.2,90.09,86.030,430.150000,False
2,11,,-65.340,0.3,15.04,96.460,321.533333,False
2,11,,-65.360,0.1,120.04,57.460,574.600000,False
2,11,,-65.360,0.2,90.04,83.620,418.100000,False
2,11,,-65.360,0.3,15.04,95.430,318.100000,False
2,11,,-65.380,0.1,105.05,61.510,615.100000,False
2,11,,-65.380,0.2,75.08,86.520,432.600000,False
2,11,,-65.380,0.3,15.04,98.020,326.733333,False
2,11,,-65.400,0.1,105.06,59.540,595.400000,False
2,11,,-65.400,0.2,90.09,88.330,441.650000,False
2,11,,-65.420,0.1,120.06,60.600,606.000000,False
2,11,,-65.420,0.2,90.08,85.370,426.850000,False
2,11,,-65.440,0.1,75.04,62.480,624.800000,False
2,11,,-65.440,0.2,90.03,91.420,457.100000,False
2,11,,-65.460,0.1,90.06,64.780,647.800000,False
2,11,,-65.460,0.2,75.06,89.940,449.700000,False
2,11,,-65.480,0.1,75.00,65.510,655.100000,False
2,11,,-65.480,0.2,90.07,94.790,473.950000,False
2,11,,-65.500,0.1,75.09,69.440,694.400000,False
2,11,,-65.500,0.2,75.08,95.890,479.450000,False
2,11,,-65.520,0.1,90.05,68.120,681.200000,False
2,11,,-65.520,0.2,90.07,96.810,484.050000,False
2,11,,-65.540,0.1,75.08,71.450,714.500000,False
2,11,,-65.540,0.2,75.06,99.650,498.250000,False
2,11,,-65.560,0.1,90.08,70.000,700.000000,False
2,11,,-65.560,0.2,90.07,98.240,491.200000,False
2,11,,-65.580,0.1,75.09,72.450,724.500000,False
2,11,,-65.580,0.2,75.07,99.820,499.100000,False
2,11,,-65.600,0.1,105.04,70.670,706.700000,False
2,11,,-65.600,0.2,90.06,99.850,499.250000,False
2,11,,-65.620,0.1,75.09,74.150,741.500000,False
2,11,,-65.620,0.2,45.02,97.230,486.150000,False
2,11,,-65.640,0.1,90.06,72.060,720.600000,False
2,11,,-65.640,0.2,90.09,99.630,498.150000,False
2,11,,-65.660,0.1,90.05,72.910,729.100000,False
2,11,,-65.660,0.2,45.08,96.680,483.400000,False
2,11,,-65.680,0.1,90.05,71.470,714.700000,False
2,11,,-65.680,0.2,90.05,99.320,496.600000,False
2,11,,-65.700,0.1,75.07,73.840,738.400000,False
2,11,,-65.700,0.2,45.00,97.240,486.200000,False
2,11,,-65.720,0.1,90.01,71.650,716.500000,False
2,11,,-65.720,0.2,90.10,98.840,494.200000,False
2,11,,-65.740,0.1,75.02,76.260,762.600000,False
2,11,,-65.740,0.2,30.02,95.160,475.800000,False
2,11,,-65.760,0.1,90.09,77.650,776.500000,False
2,11,,-65.760,0.2,45.02,97.930,489.650000,False
2,11,,-65.780,0.1,60.09,84.440,844.400000,False
2,11,,-65.780,0.2,15.06,94.010,470.050000,False
2,11,,-65.800,0.1,60.00,80.280,802.800000,False
2,11,,-65.800,0.2,45.01,98.580,492.900000,False
2,11,,-65.820,0.1,75.09,87.000,870.000000,False
2,11,,-65.820,0.2,15.04,97.850,489.250000,False
2,11,,-65.840,0.1,90.07,71.920,719.200000,True
2,11,,-65.840,0.2,60.00,96.480,482.400000,False
2,11,,-65.860,0.1,60.09,89.130,891.300000,True
2,11,,-65.860,0.2,15.04,98.180,490.900000,False
