# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: black_2
"# Test RPMs (global fallback): [3.0, 4.0, 5.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 15.0, 17.0]"
# Timestamp: 20260916_112355
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Characterization mode: on

# Cell termination methods: {7: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
2,7,,-65.720,3.0,20.01,13.670,4.556667,False
2,7,,-65.720,4.0,15.06,16.450,4.112500,False
2,7,,-65.720,5.0,15.05,19.010,3.802000,False
2,7,,-65.720,7.0,15.05,23.980,3.425714,False
2,7,,-65.720,8.0,15.04,25.960,3.245000,False
2,7,,-65.720,9.0,15.04,27.870,3.096667,False
2,7,,-65.720,10.0,15.05,29.730,2.973000,False
2,7,,-65.720,11.0,15.06,31.440,2.858182,False
2,7,,-65.720,12.0,15.04,33.140,2.761667,False
2,7,,-65.720,15.0,15.05,38.400,2.560000,False
2,7,,-65.720,17.0,15.04,41.420,2.436471,False
2,7,,-65.740,3.0,15.05,11.980,3.993333,False
2,7,,-65.740,4.0,15.03,14.900,3.725000,False
2,7,,-65.740,5.0,15.03,17.480,3.496000,False
2,7,,-65.740,7.0,15.02,22.380,3.197143,False
2,7,,-65.740,8.0,15.03,24.540,3.067500,False
2,7,,-65.740,9.0,15.02,26.660,2.962222,False
2,7,,-65.740,10.0,15.03,28.630,2.863000,False
2,7,,-65.740,11.0,15.03,30.610,2.782727,False
2,7,,-65.740,12.0,15.03,32.460,2.705000,False
2,7,,-65.740,15.0,15.04,37.780,2.518667,False
2,7,,-65.740,17.0,15.03,41.050,2.414706,False
2,7,,-65.760,3.0,15.03,11.710,3.903333,False
2,7,,-65.760,4.0,15.02,14.630,3.657500,False
2,7,,-65.760,5.0,15.03,17.270,3.454000,False
2,7,,-65.760,7.0,15.04,22.180,3.168571,False
2,7,,-65.760,8.0,15.04,24.390,3.048750,False
2,7,,-65.760,9.0,15.03,26.480,2.942222,False
2,7,,-65.760,10.0,15.04,28.560,2.856000,False
2,7,,-65.760,11.0,15.02,30.570,2.779091,False
2,7,,-65.760,12.0,15.03,32.530,2.710833,False
2,7,,-65.760,15.0,15.04,37.930,2.528667,False
2,7,,-65.760,17.0,15.03,41.320,2.430588,False
2,7,,-65.780,3.0,20.10,11.670,3.890000,False
2,7,,-65.780,4.0,15.02,14.640,3.660000,False
2,7,,-65.780,5.0,15.04,17.210,3.442000,False
2,7,,-65.780,7.0,15.04,22.120,3.160000,False
2,7,,-65.780,8.0,15.03,24.480,3.060000,False
2,7,,-65.780,9.0,15.03,26.560,2.951111,False
2,7,,-65.780,10.0,15.02,28.690,2.869000,False
2,7,,-65.780,11.0,15.06,30.770,2.797273,False
2,7,,-65.780,12.0,15.08,32.780,2.731667,False
2,7,,-65.780,15.0,15.03,38.210,2.547333,False
2,7,,-65.780,17.0,15.03,41.660,2.450588,False
2,7,,-65.800,3.0,20.08,11.810,3.936667,False
2,7,,-65.800,4.0,15.03,14.720,3.680000,False
2,7,,-65.800,5.0,15.04,17.450,3.490000,False
2,7,,-65.800,7.0,15.03,22.460,3.208571,False
2,7,,-65.800,8.0,15.03,24.670,3.083750,False
2,7,,-65.800,9.0,15.02,26.890,2.987778,False
2,7,,-65.800,10.0,15.02,29.040,2.904000,False
2,7,,-65.800,11.0,15.03,31.090,2.826364,False
2,7,,-65.800,12.0,15.03,33.210,2.767500,False
2,7,,-65.800,15.0,15.02,38.780,2.585333,False
2,7,,-65.800,17.0,15.04,42.280,2.487059,False
2,7,,-65.820,3.0,20.09,11.920,3.973333,False
2,7,,-65.820,4.0,15.03,14.830,3.707500,False
2,7,,-65.820,5.0,15.02,17.620,3.524000,False
2,7,,-65.820,7.0,15.02,22.720,3.245714,False
2,7,,-65.820,8.0,15.03,24.980,3.122500,False
2,7,,-65.820,9.0,15.03,27.270,3.030000,False
2,7,,-65.820,10.0,15.02,29.500,2.950000,False
2,7,,-65.820,11.0,15.02,31.610,2.873636,False
2,7,,-65.820,12.0,15.03,33.700,2.808333,False
2,7,,-65.820,15.0,15.02,39.500,2.633333,False
2,7,,-65.820,17.0,15.03,42.990,2.528824,False
2,7,,-65.840,3.0,20.09,12.040,4.013333,False
2,7,,-65.840,4.0,15.02,15.110,3.777500,False
2,7,,-65.840,5.0,15.04,17.890,3.578000,False
2,7,,-65.840,7.0,15.03,23.020,3.288571,False
2,7,,-65.840,8.0,15.05,25.440,3.180000,False
2,7,,-65.840,9.0,15.02,27.700,3.077778,False
2,7,,-65.840,10.0,15.03,29.940,2.994000,False
2,7,,-65.840,11.0,15.03,32.170,2.924545,False
2,7,,-65.840,12.0,15.03,34.240,2.853333,False
2,7,,-65.840,15.0,15.03,40.070,2.671333,False
2,7,,-65.840,17.0,15.04,43.800,2.576471,False
2,7,,-65.860,3.0,20.08,12.190,4.063333,False
2,7,,-65.860,4.0,15.03,15.260,3.815000,False
2,7,,-65.860,5.0,15.02,18.130,3.626000,False
2,7,,-65.860,7.0,15.03,23.420,3.345714,False
2,7,,-65.860,8.0,15.04,25.820,3.227500,False
2,7,,-65.860,9.0,15.04,28.180,3.131111,False
2,7,,-65.860,10.0,15.04,30.480,3.048000,False
2,7,,-65.860,11.0,15.03,32.650,2.968182,False
2,7,,-65.860,12.0,15.04,34.870,2.905833,False
2,7,,-65.860,15.0,15.03,40.800,2.720000,False
2,7,,-65.860,17.0,15.02,44.620,2.624706,False
2,7,,-65.880,3.0,20.09,12.370,4.123333,False
2,7,,-65.880,4.0,15.03,15.560,3.890000,False
2,7,,-65.880,5.0,15.02,18.450,3.690000,False
2,7,,-65.880,7.0,15.05,23.880,3.411429,False
2,7,,-65.880,8.0,15.02,26.340,3.292500,False
2,7,,-65.880,9.0,15.03,28.750,3.194444,False
2,7,,-65.880,10.0,15.03,31.040,3.104000,False
2,7,,-65.880,11.0,15.03,33.370,3.033636,False
2,7,,-65.880,12.0,15.05,35.620,2.968333,False
2,7,,-65.880,15.0,15.04,41.680,2.778667,False
2,7,,-65.880,17.0,15.03,45.540,2.678824,False
2,7,,-65.900,3.0,40.04,12.690,4.230000,False
2,7,,-65.900,4.0,15.04,15.900,3.975000,False
2,7,,-65.900,5.0,15.04,18.900,3.780000,False
2,7,,-65.900,7.0,15.04,24.370,3.481429,False
2,7,,-65.900,8.0,15.04,26.880,3.360000,False
2,7,,-65.900,9.0,15.04,29.320,3.257778,False
2,7,,-65.900,10.0,15.04,31.760,3.176000,False
2,7,,-65.900,11.0,15.05,34.050,3.095455,False
2,7,,-65.900,12.0,15.05,36.310,3.025833,False
2,7,,-65.900,15.0,15.04,42.590,2.839333,False
2,7,,-65.900,17.0,15.05,46.550,2.738235,False
2,7,,-65.920,3.0,20.01,12.880,4.293333,False
2,7,,-65.920,4.0,15.04,16.150,4.037500,False
2,7,,-65.920,5.0,15.04,19.240,3.848000,False
2,7,,-65.920,7.0,15.06,24.790,3.541429,False
