# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: 1kcP
# Test RPMs (global fallback): [43.0]
# Timestamp: 20260729_152103
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# Characterization mode: on

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.980,43.0,20.04,30.940,0.719535,False
1,1,,-66.000,43.0,15.06,32.190,0.748605,False
1,1,,-66.020,43.0,15.07,33.160,0.771163,False
1,1,,-66.040,43.0,15.06,34.130,0.793721,False
1,1,,-66.060,43.0,15.07,35.050,0.815116,False
1,1,,-66.080,43.0,15.07,36.220,0.842326,False
1,1,,-66.100,43.0,15.06,37.200,0.865116,False
1,1,,-66.120,43.0,15.07,38.480,0.894884,False
1,1,,-66.140,43.0,15.07,39.670,0.922558,False
1,1,,-66.160,43.0,15.07,41.090,0.955581,False
1,1,,-66.180,43.0,15.07,42.410,0.986279,False
1,1,,-66.200,43.0,15.00,44.100,1.025581,False
1,1,,-66.220,43.0,15.06,45.650,1.061628,False
1,1,,-66.240,43.0,15.01,47.590,1.106744,False
1,1,,-66.260,43.0,15.01,49.440,1.149767,False
1,1,,-66.280,43.0,15.08,51.660,1.201395,False
1,1,,-66.300,43.0,15.04,53.910,1.253721,False
1,1,,-66.320,43.0,15.03,57.260,1.331628,False
1,1,,-66.340,43.0,20.09,59.760,1.389767,False
1,1,,-66.360,43.0,30.00,63.570,1.478372,False
1,1,,-66.380,43.0,35.05,67.770,1.576047,False
1,1,,-66.400,43.0,35.04,69.810,1.623488,True
1,1,,-66.420,43.0,35.05,67.400,1.567442,True
1,1,,-66.440,43.0,35.06,66.430,1.544884,True
