# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: recalibration_20260703_082350
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260703_082350
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Viscosity prediction mode: off

"# Cell termination methods: {17: 'hit_detected', 18: 'user_stop'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
3,17,,-64.500,1.0,3.08,0.030,0.030000,False
3,17,,-64.520,1.0,3.00,0.040,0.040000,False
3,17,,-64.540,1.0,3.01,0.020,0.020000,False
3,17,,-64.560,1.0,3.02,0.020,0.020000,False
3,17,,-64.580,1.0,3.01,0.040,0.040000,False
3,17,,-64.600,1.0,3.01,0.060,0.060000,False
3,17,,-64.620,1.0,3.01,0.060,0.060000,False
3,17,,-64.640,1.0,3.01,0.050,0.050000,False
3,17,,-64.660,1.0,3.01,0.040,0.040000,False
3,17,,-64.680,1.0,3.01,0.040,0.040000,False
3,17,,-64.700,1.0,3.01,0.040,0.040000,False
3,17,,-64.720,1.0,3.01,0.020,0.020000,False
3,17,,-64.740,1.0,3.00,0.030,0.030000,False
3,17,,-64.760,1.0,3.01,0.040,0.040000,False
3,17,,-64.780,1.0,3.01,0.050,0.050000,False
3,17,,-64.800,1.0,3.01,0.060,0.060000,False
3,17,,-64.820,1.0,3.01,0.050,0.050000,False
3,17,,-64.840,1.0,3.01,0.040,0.040000,False
3,17,,-64.860,1.0,3.00,0.030,0.030000,False
3,17,,-64.880,1.0,3.01,0.050,0.050000,False
3,17,,-64.900,1.0,3.01,0.070,0.070000,False
3,17,,-64.920,1.0,3.01,0.060,0.060000,False
3,17,,-64.940,1.0,3.01,0.070,0.070000,False
3,17,,-64.960,1.0,3.01,0.060,0.060000,False
3,17,,-64.980,1.0,3.00,0.040,0.040000,False
3,17,,-65.000,1.0,3.01,0.050,0.050000,False
3,17,,-65.020,1.0,3.01,0.060,0.060000,False
3,17,,-65.040,1.0,3.01,0.080,0.080000,False
3,17,,-65.060,1.0,3.01,0.230,0.230000,True
3,17,,-65.080,1.0,3.01,1.470,1.470000,True
3,17,,-65.100,1.0,3.01,3.640,3.640000,True
3,18,,-64.500,1.0,3.01,0.050,0.050000,False
3,18,,-64.520,1.0,3.01,0.070,0.070000,False
3,18,,-64.540,1.0,3.01,0.070,0.070000,False
3,18,,-64.560,1.0,3.01,0.070,0.070000,False
3,18,,-64.580,1.0,3.00,0.100,0.100000,False
3,18,,-64.600,1.0,3.01,0.090,0.090000,False
3,18,,-64.620,1.0,3.00,0.120,0.120000,False
3,18,,-64.640,1.0,3.00,0.150,0.150000,False
3,18,,-64.660,1.0,3.01,0.430,0.430000,False
3,18,,-64.680,1.0,3.01,5.810,5.810000,False
3,18,,-64.700,1.0,3.01,6.940,6.940000,False
3,18,,-64.720,1.0,3.00,10.180,10.180000,False
3,18,,-64.740,1.0,3.00,11.610,11.610000,False
3,18,,-64.760,1.0,3.01,11.490,11.490000,False
3,18,,-64.780,1.0,3.01,9.020,9.020000,False
3,18,,-64.800,1.0,3.01,9.750,9.750000,False
3,18,,-64.820,1.0,3.01,11.230,11.230000,False
3,18,,-64.840,1.0,3.00,13.650,13.650000,False
3,18,,-64.860,1.0,3.01,10.590,10.590000,False
3,18,,-64.880,1.0,3.01,7.900,7.900000,False
3,18,,-64.900,1.0,3.01,8.380,8.380000,False
3,18,,-64.920,1.0,3.01,10.850,10.850000,False
3,18,,-64.940,1.0,3.01,12.170,12.170000,False
3,18,,-64.960,1.0,3.01,9.960,9.960000,False
3,18,,-64.980,1.0,3.01,8.440,8.440000,False
3,18,,-65.000,1.0,3.01,8.770,8.770000,False
3,18,,-65.020,1.0,3.00,5.690,5.690000,False
3,18,,-65.040,1.0,3.01,12.830,12.830000,False
3,18,,-65.060,1.0,3.01,7.120,7.120000,False
3,18,,-65.080,1.0,3.01,10.220,10.220000,False
3,18,,-65.100,1.0,3.01,8.980,8.980000,False
3,18,,-65.120,1.0,3.01,8.810,8.810000,False
3,18,,-65.140,1.0,3.01,7.740,7.740000,False
3,18,,-65.160,1.0,3.01,5.540,5.540000,False
3,18,,-65.180,1.0,3.01,2.440,2.440000,False
3,18,,-65.200,1.0,3.01,1.680,1.680000,False
3,18,,-65.220,1.0,3.03,2.520,2.520000,False
3,18,,-65.240,1.0,3.02,4.220,4.220000,False
3,18,,-65.640,1.0,3.00,0.460,0.460000,False
3,18,,-65.660,1.0,3.01,0.520,0.520000,False
